 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
53 (50)
51 (50)
52 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 12 (6)
23 32 (10)
23 43 (9)
23 31 (11)
23 41 (15)
23 53 (6)
23 51 (10)
23 52 (8)
23 42 (13)
23 33 (11)
23 13 (8)
23 22 (10)
23 21 (8)
23 11 (19)
12 32 (10)
12 43 (11)
12 31 (9)
12 41 (10)
12 53 (11)
12 51 (6)
12 52 (11)
12 42 (11)
12 33 (13)
12 13 (12)
12 22 (14)
12 21 (12)
12 11 (8)
32 43 (10)
32 31 (8)
32 41 (10)
32 53 (9)
32 51 (12)
32 52 (22)
32 42 (18)
32 33 (10)
32 13 (11)
32 22 (10)
32 21 (21)
32 11 (19)
43 31 (11)
43 41 (11)
43 53 (17)
43 51 (14)
43 52 (12)
43 42 (10)
43 33 (20)
43 13 (19)
43 22 (18)
43 21 (13)
43 11 (9)
31 41 (21)
31 53 (11)
31 51 (19)
31 52 (13)
31 42 (12)
31 33 (18)
31 13 (13)
31 22 (22)
31 21 (12)
31 11 (20)
41 53 (12)
41 51 (21)
41 52 (11)
41 42 (13)
41 33 (16)
41 13 (10)
41 22 (15)
41 21 (11)
41 11 (24)
53 51 (20)
53 52 (11)
53 42 (14)
53 33 (19)
53 13 (22)
53 22 (15)
53 21 (17)
53 11 (16)
51 52 (8)
51 42 (14)
51 33 (11)
51 13 (14)
51 22 (15)
51 21 (17)
51 11 (19)
52 42 (20)
52 33 (15)
52 13 (16)
52 22 (15)
52 21 (25)
52 11 (13)
42 33 (13)
42 13 (23)
42 22 (18)
42 21 (20)
42 11 (17)
33 13 (20)
33 22 (21)
33 21 (18)
33 11 (15)
13 22 (22)
13 21 (16)
13 11 (14)
22 21 (14)
22 11 (19)
21 11 (24)
23 12 32 (1)
23 12 43 (1)
23 12 31 (1)
23 12 41 (1)
23 12 53 (1)
23 12 52 (1)
23 12 42 (3)
23 12 33 (1)
23 12 13 (3)
23 12 22 (2)
23 12 11 (3)
23 32 43 (2)
23 32 41 (3)
23 32 53 (3)
23 32 51 (3)
23 32 52 (1)
23 32 42 (4)
23 32 33 (3)
23 32 13 (1)
23 32 22 (2)
23 32 21 (3)
23 32 11 (4)
23 43 31 (3)
23 43 41 (1)
23 43 51 (1)
23 43 52 (1)
23 43 42 (3)
23 43 33 (3)
23 43 13 (4)
23 43 22 (4)
23 43 21 (1)
23 43 11 (3)
23 31 41 (6)
23 31 51 (3)
23 31 52 (3)
23 31 42 (2)
23 31 33 (5)
