 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
52 (50)
53 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 12 (5)
23 32 (5)
23 43 (4)
23 31 (23)
23 41 (28)
23 51 (23)
23 52 (7)
23 53 (5)
23 42 (4)
23 13 (4)
23 33 (6)
23 22 (4)
23 21 (4)
23 11 (22)
12 32 (14)
12 43 (11)
12 31 (9)
12 41 (5)
12 51 (5)
12 52 (18)
12 53 (10)
12 42 (17)
12 13 (4)
12 33 (11)
12 22 (13)
12 21 (17)
12 11 (5)
32 43 (4)
32 31 (6)
32 41 (7)
32 51 (9)
32 52 (32)
32 53 (1)
32 42 (33)
32 13 (12)
32 33 (3)
32 22 (15)
32 21 (22)
32 11 (17)
43 31 (5)
43 41 (3)
43 51 (1)
43 52 (4)
43 53 (34)
43 42 (3)
43 13 (33)
43 33 (37)
43 22 (23)
43 21 (19)
43 11 (3)
31 41 (35)
31 51 (32)
31 52 (9)
31 53 (5)
31 42 (6)
31 13 (8)
31 33 (10)
31 22 (14)
31 21 (7)
31 11 (31)
41 51 (37)
41 52 (6)
41 53 (8)
41 42 (5)
41 13 (1)
41 33 (9)
41 22 (14)
41 21 (7)
41 11 (35)
51 52 (5)
51 53 (8)
51 42 (7)
51 13 (6)
51 33 (5)
51 22 (15)
51 21 (13)
51 11 (34)
52 53 (4)
52 42 (38)
52 13 (16)
52 33 (4)
52 22 (17)
52 21 (25)
52 11 (15)
53 42 (9)
53 13 (31)
53 33 (37)
53 22 (20)
53 21 (21)
53 11 (7)
42 13 (17)
42 33 (10)
42 22 (18)
42 21 (29)
42 11 (20)
13 33 (35)
13 22 (29)
13 21 (20)
13 11 (4)
33 22 (25)
33 21 (22)
33 11 (6)
22 21 (3)
22 11 (18)
21 11 (19)
23 12 32 (1)
23 12 43 (1)
23 12 31 (2)
23 12 41 (2)
23 12 51 (2)
23 12 52 (1)
23 12 42 (1)
23 12 13 (1)
23 12 22 (2)
23 12 11 (2)
23 32 43 (1)
23 32 31 (2)
23 32 41 (2)
23 32 51 (2)
23 32 52 (1)
23 32 42 (1)
23 32 13 (1)
23 32 22 (2)
23 32 21 (1)
23 32 11 (1)
23 43 53 (2)
23 43 13 (4)
23 43 33 (2)
23 43 22 (2)
23 31 41 (22)
23 31 51 (18)
23 31 52 (5)
23 31 53 (1)
23 31 42 (1)
23 31 33 (1)
23 31 22 (1)
23 31 21 (1)
23 31 11 (15)
23 41 51 (22)
23 41 52 (5)
23 41 53 (3)
23 41 42 (2)
23 41 33 (4)
23 41 21 (3)
23 41 11 (19)
23 51 52 (1)
23 51 53 (3)
23 51 33 (2)
23 51 22 (1)
23 51 21 (3)
23 51 11 (15)
23 52 42 (2)
23 52 33 (1)
23 52 21 (1)
23 52 11 (4)
23 53 13 (2)
23 53 33 (3)
23 53 11 (1)
23 42 33 (1)
23 42 21 (1)
23 42 11 (3)
23 13 33 (2)
23 13 22 (2)
23 33 11 (2)
23 22 11 (2)
23 21 11 (2)
12 32 31 (1)
12 32 41 (1)
12 32 51 (1)
12 32 52 (12)
12 32 42 (10)
12 32 13 (1)
12 32 33 (2)
12 32 22 (6)
12 32 21 (6)
12 32 11 (1)
12 43 31 (1)
12 43 52 (1)
12 43 53 (8)
12 43 13 (2)
12 43 33 (7)
12 43 22 (5)
12 43 21 (6)
12 43 11 (2)
12 31 41 (4)
12 31 51 (3)
12 31 52 (2)
12 31 53 (2)
12 31 42 (4)
12 31 13 (1)
