1 1 0 0 -0.249000709413864 -0.249340390301682 1 1 0.133809099018733 0.133809099018733 ; 11 21 53
30 29 0.0333333333333333 -0.0344827586206897 0.730693040452846 0.698617501168429 0.966666666666667 1.03448275862069 7.5 7.25 ; 23 41 51
1 1 0 0 -0.388943274531842 -0.388943274531842 1 1 0.0771604938271605 0.0771604938271605 ; 23 42
27 26 0.037037037037037 -0.0384615384615385 0.697503884014663 0.651664889592268 0.962962962962963 1.03846153846154 17.1610169491525 16.5254237288136 ; 11 23 31 41
5 5 0 0 0.197791033132285 0.182103585976608 1 1 3.65497076023392 3.65497076023392 ; 12 22 32 52
3 3 0 0 -0.298019780339635 -0.298019780339635 1 1 0.25 0.25 ; 12 31
3 4 -0.333333333333333 0.25 -0.0984538365204042 -0.0699147429391226 1.33333333333333 0.75 0.398724082934609 0.531632110579479 ; 22 33 42
1 0 1 Inf -0.154536353439379 -0.173620557443164 0 Inf 0.133809099018733 0 ; 11 22 52
2 2 0 0 0.137763801667249 0.110466616992838 1 1 3.32270069112174 3.32270069112174 ; 12 21 33 42 53
6 6 0 0 0.108682850957214 0.108754237799691 1 1 2.87081339712919 2.87081339712919 ; 13 22 32 52
5 5 0 0 0.0363640607181569 0.0167994211963761 1 1 1.13636363636364 1.13636363636364 ; 13 23 53
46 45 0.0217391304347826 -0.0222222222222222 0.87406293479704 0.844060774563732 0.978260869565217 1.02222222222222 2.72727272727273 2.66798418972332 ; 33 43
17 15 0.117647058823529 -0.133333333333333 0.306539619836745 0.267609062941164 0.882352941176471 1.13333333333333 2.65238194299979 2.34033700852923 ; 21 33 43
1 1 0 0 0.114497920483135 0.0942266879733802 1 1 1.07167352537723 1.07167352537723 ; 12 23 32 42
16 15 0.0625 -0.0666666666666667 0.264330478638812 0.235042870518789 0.9375 1.06666666666667 2.42424242424242 2.27272727272727 ; 13 42 52
15 16 -0.0666666666666667 0.0625 -0.157949748324146 -0.129335663482816 1.06666666666667 0.9375 0.730994152046784 0.779727095516569 ; 22 42
1 0 1 Inf 0.00557313507591006 3.54889653775281e-05 0 Inf 0.412991046354115 0 ; 11 22 32 42
2 2 0 0 0.0855432840705929 0.0807249383929106 1 1 0.78294910830796 0.78294910830796 ; 13 22 33 52
32 33 -0.03125 0.0303030303030303 0.44657840569979 0.476550110780312 1.03125 0.96969696969697 1.87134502923977 1.92982456140351 ; 21 32
3 3 0 0 0.237741486234069 0.238833104167792 1 1 3.125 3.125 ; 12 23 41 51
1 1 0 0 -0.15037108535336 -0.145545641617181 1 1 0.446030330062444 0.446030330062444 ; 11 21 32 53
23 22 0.0434782608695652 -0.0454545454545455 0.299726121052415 0.267566666003873 0.956521739130435 1.04545454545455 1.6812865497076 1.60818713450292 ; 12 21
2 2 0 0 0.221193632707073 0.220910612643896 1 1 0.8028545941124 0.8028545941124 ; 11 21 41 51
27 26 0.037037037037037 -0.0384615384615385 0.410304145386664 0.3783489938768 0.962962962962963 1.03846153846154 1.90677966101695 1.8361581920904 ; 11 23
11 11 0 0 0.332967166617389 0.317610530050994 1 1 5.1789077212806 5.1789077212806 ; 11 32 42 52
3 3 0 0 0.287298900671277 0.296172468003617 1 1 5.85084252132307 5.85084252132307 ; 12 22 33 43 53
12 11 0.0833333333333333 -0.0909090909090909 0.208520141506618 0.188817630700643 0.916666666666667 1.09090909090909 2.10526315789474 1.92982456140351 ; 22 32 52
12 10 0.166666666666667 -0.2 0.363669150724521 0.319849085213315 0.833333333333333 1.2 5.10618983679104 4.25515819732587 ; 13 21 33 43
6 6 0 0 0.272457620136646 0.258040105632054 1 1 2.6581605528974 2.6581605528974 ; 13 21 32 42
2 2 0 0 0.0103836141023027 0.0102290281614722 1 1 0.267618198037467 0.267618198037467 ; 11 21 31
39 36 0.0769230769230769 -0.0833333333333333 0.720659878507205 0.662604785253242 0.923076923076923 1.08333333333333 5.80165289256199 5.35537190082645 ; 13 33 53
2 2 0 0 0.0766021137035271 0.0603612472413619 1 1 1.26262626262626 1.26262626262626 ; 12 33 42 53
23 22 0.0434782608695652 -0.0454545454545455 0.353408361084115 0.343701292413662 0.956521739130435 1.04545454545455 3.00130491518051 2.87081339712919 ; 13 22 33
1 1 0 0 -0.0174911414276723 -0.0177475610742926 1 1 1.23897313906235 1.23897313906235 ; 11 21 32 42 53
12 11 0.0833333333333333 -0.0909090909090909 -0.152855695910666 -0.182827400991189 0.916666666666667 1.09090909090909 0.701754385964912 0.64327485380117 ; 22 32
1 0 1 Inf 0.0181235439778052 0.00358615779582561 0 Inf 0.446030330062444 0 ; 11 22 32 52
21 21 0 0 0.0028501597951257 0.0028501597951257 1 1 1.00478468899522 1.00478468899522 ; 13 21
27 26 0.037037037037037 -0.0384615384615385 0.599221241579107 0.548581022376527 0.962962962962963 1.03846153846154 5.72033898305085 5.50847457627119 ; 11 23 31
