 (150)
23 (36)
12 (36)
32 (45)
43 (46)
41 (50)
51 (50)
31 (50)
53 (50)
52 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 41 (22)
23 51 (21)
23 31 (24)
23 11 (20)
32 52 (33)
32 42 (34)
32 21 (25)
43 53 (27)
43 13 (25)
43 33 (29)
41 51 (34)
41 31 (34)
41 11 (35)
51 31 (34)
51 11 (34)
31 11 (34)
53 13 (30)
53 33 (33)
53 22 (25)
53 21 (20)
52 42 (39)
52 21 (24)
42 21 (27)
13 33 (30)
13 22 (27)
33 22 (22)
33 21 (25)
32 52 42 (30)
43 53 33 (22)
41 51 31 (27)
41 51 11 (28)
41 31 11 (26)
51 31 11 (26)
53 13 33 (21)
41 51 31 11 (21)
