 (150)
23 (36)
12 (36)
32 (45)
43 (46)
41 (50)
51 (50)
31 (50)
53 (50)
52 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 41 (20)
23 51 (22)
23 31 (22)
23 11 (20)
32 52 (32)
32 42 (34)
32 21 (27)
43 53 (33)
43 13 (26)
43 33 (31)
43 22 (20)
41 51 (37)
41 31 (36)
41 11 (38)
51 31 (37)
51 11 (37)
31 11 (36)
53 13 (31)
53 33 (35)
53 22 (23)
53 21 (20)
52 42 (40)
52 21 (26)
42 21 (28)
13 33 (31)
13 22 (27)
33 22 (23)
33 21 (23)
32 52 42 (29)
32 52 21 (20)
32 42 21 (20)
43 53 13 (21)
43 53 33 (25)
41 51 31 (31)
41 51 11 (32)
41 31 11 (30)
51 31 11 (30)
53 13 33 (24)
52 42 21 (21)
41 51 31 11 (26)
