 (150)
23 (36)
12 (36)
32 (45)
43 (46)
41 (50)
51 (50)
31 (50)
53 (50)
52 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 41 (22)
23 51 (20)
23 31 (21)
32 52 (26)
32 42 (30)
32 21 (24)
43 53 (26)
43 13 (24)
43 33 (27)
41 51 (30)
41 31 (31)
41 11 (33)
51 31 (29)
51 11 (32)
31 11 (34)
53 13 (27)
53 33 (29)
53 22 (25)
53 21 (20)
52 42 (35)
52 21 (22)
42 22 (20)
42 21 (27)
13 33 (31)
13 22 (26)
13 21 (20)
33 22 (20)
33 21 (27)
32 52 42 (22)
43 53 33 (20)
41 51 31 (22)
41 51 11 (24)
41 31 11 (24)
51 31 11 (22)
