 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
53 (50)
51 (50)
52 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (10)
23 41 (16)
23 51 (11)
23 52 (11)
23 42 (10)
23 13 (11)
23 22 (12)
23 21 (12)
23 11 (14)
12 32 (13)
12 31 (11)
12 41 (12)
12 53 (10)
12 51 (13)
12 52 (11)
12 42 (14)
12 33 (11)
12 13 (10)
12 22 (10)
12 21 (14)
32 31 (10)
32 41 (11)
32 53 (13)
32 52 (19)
32 42 (19)
32 33 (11)
32 13 (14)
32 22 (14)
32 21 (14)
32 11 (17)
43 31 (11)
43 41 (15)
43 53 (19)
43 51 (10)
43 52 (10)
43 42 (11)
43 33 (19)
43 13 (17)
43 22 (22)
43 21 (14)
43 11 (16)
31 41 (19)
31 53 (17)
31 51 (19)
31 42 (13)
31 33 (19)
31 13 (13)
31 22 (13)
31 21 (15)
31 11 (21)
41 53 (11)
41 51 (21)
41 52 (14)
41 33 (12)
41 13 (15)
41 22 (18)
41 21 (10)
41 11 (20)
53 51 (13)
53 52 (13)
53 42 (11)
53 33 (22)
53 13 (15)
53 22 (17)
53 21 (13)
53 11 (17)
51 42 (16)
51 33 (14)
51 13 (14)
51 22 (15)
51 21 (13)
51 11 (24)
52 42 (18)
52 33 (13)
52 13 (19)
52 22 (16)
52 21 (24)
52 11 (15)
42 33 (13)
42 13 (23)
42 22 (20)
42 21 (24)
42 11 (18)
33 13 (18)
33 22 (20)
33 21 (22)
33 11 (17)
13 22 (18)
13 21 (18)
13 11 (15)
22 21 (17)
22 11 (16)
21 11 (18)
41 51 11 (10)
52 42 21 (10)
52 13 21 (11)
