 (150)
12 (36)
23 (36)
32 (45)
43 (46)
31 (50)
41 (50)
52 (50)
53 (50)
51 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
12 23 (10)
12 43 (10)
12 41 (12)
12 52 (12)
12 42 (13)
12 22 (16)
12 21 (11)
12 11 (10)
23 31 (12)
23 53 (13)
23 51 (12)
23 42 (12)
23 21 (13)
23 11 (16)
32 31 (14)
32 41 (14)
32 52 (14)
32 53 (14)
32 42 (19)
32 33 (19)
32 13 (10)
32 22 (13)
32 21 (15)
32 11 (16)
43 31 (14)
43 41 (11)
43 52 (11)
43 53 (16)
43 51 (15)
43 42 (15)
43 33 (13)
43 13 (19)
43 22 (17)
43 21 (12)
43 11 (18)
31 41 (15)
31 52 (10)
31 53 (14)
31 51 (12)
31 33 (21)
31 13 (17)
31 22 (20)
31 21 (13)
31 11 (21)
41 52 (20)
41 53 (12)
41 51 (15)
41 42 (16)
41 33 (16)
41 13 (19)
41 22 (16)
41 21 (13)
41 11 (12)
52 53 (15)
52 51 (15)
52 42 (17)
52 33 (14)
52 13 (13)
52 22 (17)
52 21 (17)
52 11 (16)
53 51 (14)
53 33 (18)
53 13 (15)
53 22 (16)
53 21 (19)
53 11 (18)
51 42 (18)
51 33 (17)
51 13 (16)
51 22 (13)
51 21 (20)
51 11 (16)
42 33 (15)
42 13 (23)
42 22 (16)
42 21 (20)
42 11 (15)
33 13 (17)
33 22 (17)
33 21 (17)
33 11 (21)
13 22 (18)
13 21 (18)
13 11 (18)
22 21 (21)
22 11 (20)
21 11 (19)
31 33 11 (10)
