 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
53 (50)
52 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (24)
23 41 (27)
23 51 (23)
23 11 (23)
12 32 (18)
12 53 (11)
12 52 (21)
12 42 (21)
12 33 (11)
12 22 (10)
12 21 (20)
32 52 (37)
32 42 (39)
32 13 (13)
32 22 (16)
32 21 (27)
32 11 (14)
43 53 (39)
43 33 (41)
43 13 (33)
43 22 (23)
43 21 (17)
31 41 (40)
31 51 (41)
31 22 (18)
31 11 (41)
41 51 (40)
41 22 (13)
41 11 (41)
51 22 (18)
51 11 (42)
53 33 (41)
53 13 (35)
53 22 (22)
53 21 (20)
52 42 (42)
52 13 (14)
52 22 (16)
52 21 (28)
52 11 (15)
42 13 (18)
42 22 (17)
42 21 (33)
42 11 (13)
33 13 (37)
33 22 (27)
33 21 (20)
13 22 (26)
13 21 (20)
22 11 (19)
21 11 (15)
23 31 41 (23)
23 31 51 (20)
23 31 11 (19)
23 41 51 (23)
23 41 11 (23)
23 51 11 (19)
12 32 52 (16)
12 32 42 (16)
12 32 21 (11)
12 52 42 (17)
12 52 21 (11)
12 42 21 (12)
32 52 42 (35)
32 52 13 (10)
32 52 22 (11)
32 52 21 (24)
32 52 11 (11)
32 42 13 (12)
32 42 22 (12)
32 42 21 (25)
32 42 11 (10)
32 21 11 (10)
43 53 33 (36)
43 53 13 (30)
43 53 22 (20)
43 53 21 (14)
43 33 13 (30)
43 33 22 (22)
43 33 21 (14)
43 13 22 (17)
43 13 21 (10)
31 41 51 (36)
31 41 22 (12)
31 41 11 (36)
31 51 22 (16)
31 51 11 (37)
31 22 11 (17)
41 51 22 (11)
41 51 11 (36)
41 22 11 (12)
51 22 11 (16)
53 33 13 (30)
53 33 22 (21)
53 33 21 (15)
53 13 22 (16)
53 13 21 (11)
52 42 13 (13)
52 42 22 (14)
52 42 21 (25)
52 42 11 (11)
52 21 11 (11)
42 21 11 (11)
33 13 22 (20)
33 13 21 (11)
23 31 41 51 (20)
23 31 41 11 (19)
23 31 51 11 (16)
23 41 51 11 (19)
12 32 52 42 (14)
32 52 42 13 (10)
32 52 42 22 (11)
32 52 42 21 (22)
32 52 42 11 (10)
32 52 21 11 (10)
43 53 33 13 (27)
43 53 33 22 (20)
43 53 33 21 (11)
43 53 13 22 (15)
43 33 13 22 (17)
31 41 51 22 (11)
31 41 51 11 (32)
31 41 22 11 (12)
31 51 22 11 (16)
41 51 22 11 (11)
53 33 13 22 (16)
52 42 21 11 (10)
23 31 41 51 11 (16)
43 53 33 13 22 (15)
31 41 51 22 11 (11)
