 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
53 (50)
52 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (26)
23 41 (27)
23 51 (24)
23 11 (25)
12 32 (18)
12 53 (10)
12 52 (21)
12 42 (21)
12 33 (11)
12 22 (10)
12 21 (21)
32 52 (38)
32 42 (40)
32 13 (13)
32 22 (15)
32 21 (29)
32 11 (14)
43 53 (41)
43 33 (42)
43 13 (34)
43 22 (23)
43 21 (18)
31 41 (41)
31 51 (43)
31 22 (18)
31 11 (43)
41 51 (40)
41 22 (14)
41 11 (42)
51 22 (19)
51 11 (43)
53 33 (42)
53 13 (36)
53 22 (23)
53 21 (20)
52 42 (43)
52 13 (15)
52 22 (16)
52 21 (30)
52 11 (14)
42 13 (18)
42 22 (17)
42 21 (34)
42 11 (13)
33 13 (37)
33 22 (27)
33 21 (20)
13 22 (26)
13 21 (20)
22 11 (18)
21 11 (15)
23 31 41 (24)
23 31 51 (22)
23 31 11 (22)
23 41 51 (23)
23 41 11 (24)
23 51 11 (21)
12 32 52 (16)
12 32 42 (16)
12 32 21 (12)
12 52 42 (17)
12 52 21 (12)
12 42 21 (13)
32 52 42 (36)
32 52 13 (11)
32 52 22 (11)
32 52 21 (26)
32 52 11 (11)
32 42 13 (12)
32 42 22 (12)
32 42 21 (27)
32 42 11 (11)
32 21 11 (11)
43 53 33 (38)
43 53 13 (32)
43 53 22 (21)
43 53 21 (15)
43 33 13 (31)
43 33 22 (22)
43 33 21 (15)
43 13 22 (17)
43 13 21 (11)
31 41 51 (38)
31 41 22 (13)
31 41 11 (38)
31 51 22 (17)
31 51 11 (40)
31 22 11 (17)
41 51 22 (13)
41 51 11 (37)
41 22 11 (13)
51 22 11 (17)
53 33 13 (31)
53 33 22 (22)
53 33 21 (15)
53 13 22 (17)
53 13 21 (11)
52 42 13 (14)
52 42 22 (14)
52 42 21 (27)
52 42 11 (11)
52 21 11 (11)
42 21 11 (11)
33 13 22 (20)
33 13 21 (11)
23 31 41 51 (21)
23 31 41 11 (21)
23 31 51 11 (19)
23 41 51 11 (20)
12 32 52 42 (14)
12 32 52 21 (10)
12 32 42 21 (10)
32 52 42 13 (11)
32 52 42 22 (11)
32 52 42 21 (24)
32 52 42 11 (10)
32 52 21 11 (10)
32 42 21 11 (10)
43 53 33 13 (29)
43 53 33 22 (21)
43 53 33 21 (12)
43 53 13 22 (16)
43 53 13 21 (10)
43 33 13 22 (17)
31 41 51 22 (13)
31 41 51 11 (35)
31 41 22 11 (13)
31 51 22 11 (17)
41 51 22 11 (13)
53 33 13 22 (17)
52 42 21 11 (10)
23 31 41 51 11 (18)
43 53 33 13 22 (16)
31 41 51 22 11 (13)
