 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
53 (50)
52 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (28)
23 41 (28)
23 51 (27)
23 11 (25)
12 32 (18)
12 53 (11)
12 52 (22)
12 42 (21)
12 33 (11)
12 22 (10)
12 21 (21)
32 52 (41)
32 42 (41)
32 13 (13)
32 22 (14)
32 21 (30)
32 11 (14)
43 53 (43)
43 33 (43)
43 13 (34)
43 22 (23)
43 21 (18)
31 41 (43)
31 51 (45)
31 22 (18)
31 11 (43)
41 51 (43)
41 22 (15)
41 11 (42)
51 22 (18)
51 11 (43)
53 33 (45)
53 13 (35)
53 22 (23)
53 21 (21)
52 42 (45)
52 13 (15)
52 22 (15)
52 21 (31)
52 11 (13)
42 13 (18)
42 22 (17)
42 21 (34)
42 11 (13)
33 13 (38)
33 22 (28)
33 21 (21)
13 22 (26)
13 21 (20)
22 11 (19)
21 11 (15)
23 31 41 (26)
23 31 51 (25)
23 31 11 (23)
23 41 51 (26)
23 41 11 (24)
23 51 11 (23)
12 32 52 (18)
12 32 42 (16)
12 32 21 (12)
12 52 42 (19)
12 52 21 (13)
12 42 21 (13)
32 52 42 (39)
32 52 13 (11)
32 52 22 (11)
32 52 21 (29)
32 52 11 (12)
32 42 13 (12)
32 42 22 (12)
32 42 21 (28)
32 42 11 (12)
32 21 11 (12)
43 53 33 (41)
43 53 13 (32)
43 53 22 (21)
43 53 21 (17)
43 33 13 (32)
43 33 22 (22)
43 33 21 (16)
43 13 22 (17)
43 13 21 (11)
31 41 51 (41)
31 41 22 (14)
31 41 11 (39)
31 51 22 (17)
31 51 11 (41)
31 22 11 (17)
41 51 22 (14)
41 51 11 (39)
41 22 11 (14)
51 22 11 (17)
53 33 13 (32)
53 33 22 (22)
53 33 21 (18)
53 13 22 (17)
53 13 21 (11)
52 42 13 (14)
52 42 22 (14)
52 42 21 (29)
52 42 11 (11)
52 21 11 (11)
42 21 11 (11)
33 13 22 (20)
33 13 21 (12)
23 31 41 51 (24)
23 31 41 11 (22)
23 31 51 11 (21)
23 41 51 11 (22)
12 32 52 42 (16)
12 32 52 21 (12)
12 32 42 21 (10)
12 52 42 21 (11)
32 52 42 13 (11)
32 52 42 22 (11)
32 52 42 21 (27)
32 52 42 11 (11)
32 52 21 11 (11)
32 42 21 11 (11)
43 53 33 13 (30)
43 53 33 22 (21)
43 53 33 21 (15)
43 53 13 22 (16)
43 53 13 21 (10)
43 33 13 22 (17)
31 41 51 22 (14)
31 41 51 11 (37)
31 41 22 11 (14)
31 51 22 11 (17)
41 51 22 11 (14)
53 33 13 22 (17)
52 42 21 11 (10)
23 31 41 51 11 (20)
12 32 52 42 21 (10)
32 52 42 21 11 (10)
43 53 33 13 22 (16)
31 41 51 22 11 (14)
