 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
52 (50)
53 (50)
42 (54)
33 (55)
13 (55)
22 (57)
21 (57)
11 (59)
23 31 (29)
23 41 (30)
23 51 (28)
23 11 (26)
12 32 (18)
12 52 (22)
12 53 (10)
12 42 (22)
12 33 (11)
12 22 (10)
12 21 (21)
32 52 (42)
32 42 (42)
32 13 (13)
32 22 (13)
32 21 (31)
32 11 (13)
43 53 (43)
43 33 (44)
43 13 (35)
43 22 (23)
43 21 (17)
31 41 (46)
31 51 (47)
31 22 (18)
31 11 (45)
41 51 (45)
41 22 (16)
41 11 (43)
51 22 (19)
51 11 (45)
52 42 (47)
52 13 (16)
52 22 (15)
52 21 (33)
52 11 (11)
53 33 (46)
53 13 (35)
53 22 (23)
53 21 (21)
42 13 (18)
42 22 (16)
42 21 (37)
42 11 (13)
33 13 (40)
33 22 (28)
33 21 (22)
13 22 (26)
13 21 (22)
22 11 (20)
21 11 (13)
23 31 41 (29)
23 31 51 (27)
23 31 11 (25)
23 41 51 (28)
23 41 11 (26)
23 51 11 (25)
12 32 52 (18)
12 32 42 (17)
12 32 21 (13)
12 52 42 (20)
12 52 21 (14)
12 42 21 (15)
32 52 42 (41)
32 52 13 (12)
32 52 22 (11)
32 52 21 (30)
32 52 11 (11)
32 42 13 (12)
32 42 22 (11)
32 42 21 (30)
32 42 11 (12)
32 21 11 (11)
43 53 33 (42)
43 53 13 (33)
43 53 22 (21)
43 53 21 (16)
43 33 13 (34)
43 33 22 (22)
43 33 21 (16)
43 13 22 (17)
43 13 21 (12)
31 41 51 (44)
31 41 22 (15)
31 41 11 (42)
31 51 22 (18)
31 51 11 (44)
31 22 11 (18)
41 51 22 (15)
41 51 11 (42)
41 22 11 (15)
51 22 11 (18)
52 42 13 (15)
52 42 22 (14)
52 42 21 (32)
52 42 11 (11)
52 21 11 (10)
53 33 13 (34)
53 33 22 (22)
53 33 21 (18)
53 13 22 (17)
53 13 21 (12)
42 13 21 (10)
42 21 11 (11)
33 13 22 (20)
33 13 21 (15)
23 31 41 51 (27)
23 31 41 11 (25)
23 31 51 11 (24)
23 41 51 11 (25)
12 32 52 42 (17)
12 32 52 21 (13)
12 32 42 21 (12)
12 52 42 21 (13)
32 52 42 13 (12)
32 52 42 22 (11)
32 52 42 21 (29)
32 52 42 11 (11)
32 52 21 11 (10)
32 42 21 11 (11)
43 53 33 13 (32)
43 53 33 22 (21)
43 53 33 21 (15)
43 53 13 22 (16)
43 53 13 21 (11)
43 33 13 22 (17)
43 33 13 21 (11)
31 41 51 22 (15)
31 41 51 11 (41)
31 41 22 11 (15)
31 51 22 11 (18)
41 51 22 11 (15)
52 42 21 11 (10)
53 33 13 22 (17)
53 33 13 21 (11)
23 31 41 51 11 (24)
12 32 52 42 21 (12)
32 52 42 21 11 (10)
43 53 33 13 22 (16)
43 53 33 13 21 (10)
31 41 51 22 11 (15)
