 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
51 (50)
53 (50)
52 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 31 (15)
23 41 (19)
23 51 (13)
23 52 (11)
23 42 (10)
23 21 (11)
23 11 (23)
12 32 (16)
12 41 (11)
12 51 (10)
12 52 (15)
12 42 (17)
12 33 (10)
12 21 (17)
32 52 (24)
32 42 (20)
32 13 (15)
32 33 (11)
32 22 (16)
32 21 (19)
32 11 (12)
43 41 (10)
43 53 (23)
43 13 (21)
43 33 (29)
43 22 (22)
43 21 (16)
31 41 (20)
31 51 (21)
31 53 (16)
31 42 (14)
31 13 (13)
31 33 (14)
31 22 (17)
31 21 (12)
31 11 (26)
41 51 (27)
41 52 (12)
41 13 (10)
41 22 (18)
41 11 (32)
51 53 (13)
51 52 (10)
51 42 (11)
51 13 (13)
51 22 (16)
51 21 (10)
51 11 (30)
53 42 (11)
53 13 (22)
53 33 (27)
53 22 (17)
53 21 (16)
53 11 (13)
52 42 (25)
52 13 (19)
52 33 (12)
52 22 (16)
52 21 (21)
52 11 (13)
42 13 (16)
42 33 (14)
42 22 (19)
42 21 (26)
42 11 (16)
13 33 (27)
13 22 (22)
13 21 (20)
13 11 (10)
33 22 (23)
33 21 (22)
22 21 (11)
22 11 (20)
21 11 (18)
23 31 11 (10)
23 41 51 (10)
23 41 11 (14)
23 51 11 (10)
12 32 52 (10)
12 32 42 (10)
12 32 21 (10)
12 42 21 (11)
32 52 42 (14)
32 52 21 (10)
32 42 21 (11)
43 53 13 (12)
43 53 33 (15)
43 53 22 (10)
43 13 33 (15)
43 13 22 (10)
43 33 22 (13)
31 41 51 (14)
31 41 11 (15)
31 51 11 (16)
41 51 11 (19)
41 22 11 (12)
51 22 11 (10)
53 13 33 (13)
52 42 13 (10)
52 42 21 (12)
13 33 22 (10)
13 33 21 (11)
31 41 51 11 (10)
