 (150)
23 (36)
12 (36)
32 (45)
43 (46)
31 (50)
41 (50)
53 (50)
51 (50)
52 (50)
42 (54)
13 (55)
33 (55)
22 (57)
21 (57)
11 (59)
23 31 (10)
23 41 (10)
23 53 (11)
23 51 (15)
23 42 (14)
23 13 (14)
23 22 (12)
23 21 (12)
23 11 (11)
12 32 (11)
12 41 (13)
12 52 (13)
12 42 (12)
12 22 (16)
12 21 (12)
12 11 (11)
32 31 (10)
32 53 (16)
32 52 (18)
32 42 (16)
32 13 (13)
32 33 (16)
32 22 (15)
32 21 (19)
32 11 (16)
43 31 (15)
43 41 (16)
43 51 (12)
43 52 (12)
43 42 (14)
43 13 (17)
43 33 (17)
43 22 (13)
43 21 (14)
43 11 (19)
31 41 (18)
31 53 (15)
31 51 (18)
31 52 (11)
31 42 (10)
31 13 (18)
31 33 (16)
31 22 (15)
31 21 (16)
31 11 (19)
41 53 (16)
41 51 (18)
41 52 (13)
41 13 (18)
41 33 (13)
41 22 (18)
41 21 (13)
41 11 (18)
53 51 (10)
53 52 (14)
53 42 (11)
53 13 (16)
53 33 (21)
53 22 (19)
53 21 (16)
53 11 (17)
51 52 (10)
51 42 (18)
51 13 (16)
51 33 (21)
51 22 (12)
51 21 (15)
51 11 (19)
52 42 (16)
52 13 (16)
52 33 (12)
52 22 (16)
52 21 (22)
52 11 (20)
42 13 (21)
42 33 (16)
42 22 (21)
42 21 (19)
42 11 (19)
13 33 (15)
13 22 (20)
13 21 (16)
13 11 (14)
33 22 (18)
33 21 (19)
33 11 (21)
22 21 (18)
22 11 (15)
21 11 (17)
