829, 709, 5250, 6560, 70, 82, 1074, 390, 878, 1995, C, f, f
141, 118, 722, 928, 19, 16, 15, 155, 139, 404, C, f, f
1044, 783, 3591, 4026, 63, 61, 81, 218, 232, 2908, D2, f, t
78, 63, 331, 336, 7, 8, 54, 68, 63, 167, D1, t, f
511, 419, 2142, 1947, 34, 33, 59, 106, 239, 1477, C, f, f
987, 1402, 4032, 5376, 56, 64, 891, 681, 995, 1411, C, f, f
313, 286, 1137, 1008, 22, 18, 153, 63, 146, 762, D1, t, f
1800, 859, 7350, 3159, 75, 81, 441, 2315, 1433, 1837, D1, f, f
226, 126, 1034, 612, 11, 6, 351, 377, 259, 196, C, f, f
58, 28, 343, 140, 24, 14, 24, 18, 35, 248, A, t, f
1136, 597, 4602, 3068, 59, 59, 554, 870, 949, 2623, D1, f, f
376, 274, 1980, 1675, 22, 25, 356, 261, 344, 792, C, f, f
223, 172, 1656, 1400, 18, 14, 355, 430, 323, 579, C, f, f
1808, 976, 7600, 7396, 80, 86, 501, 718, 852, 5928, C, f, f
114, 180, 462, 1008, 14, 16, 4, 28, 27, 364, D2, f, f
1169, 1125, 4356, 3723, 45, 51, 359, 427, 134, 2107, D1, t, f
226, 235, 1230, 1575, 15, 15, 414, 284, 267, 418, D1, f, f
493, 189, 2408, 1035, 28, 23, 318, 503, 344, 1083, D1, f, f
915, 842, 4260, 5487, 71, 59, 1265, 796, 1148, 1917, C, f, t
1263, 739, 6136, 4277, 52, 47, 903, 1060, 589, 2208, B, f, f
668, 429, 4992, 5841, 78, 59, 988, 955, 593, 1697, B, f, f
259, 187, 1069, 930, 12, 10, 329, 182, 76, 481, B, t, f
1021, 778, 4118, 3127, 58, 53, 432, 467, 432, 2388, D1, f, f
751, 425, 3159, 1896, 27, 24, 262, 147, 542, 1516, C, f, f
1397, 929, 6210, 5162, 54, 58, 1630, 2329, 1676, 1552, C, f, t
336, 526, 1620, 3534, 60, 57, 211, 272, 183, 939, B, f, f
38, 52, 182, 518, 14, 14, 16, 17, 9, 131, C, f, t
578, 869, 1960, 3555, 70, 79, 219, 185, 212, 1274, D2, f, t
1083, 1128, 5472, 6758, 76, 109, 873, 896, 390, 3173, B, f, f
