-1.243 0.146 -2.359
-1.143 0.146 -2.459
-0.743 0.646 -2.259
-0.743 0.746 -2.259
-0.943 0.046 -2.259
-0.843 0.346 -2.159
-0.843 0.346 -2.259
-0.843 0.246 -2.359
-0.143 1.346 -2.259
-0.843 0.446 -2.159
-1.243 0.046 -2.259
-0.443 0.846 -2.459
-0.843 0.146 -2.559
-0.743 -0.554 -0.759
-0.743 0.746 -1.859
-1.043 -0.054 -2.359
-0.143 -0.454 -0.259
-0.543 0.646 -2.259
-0.143 0.746 -2.059
-1.443 -0.054 -2.459
-0.443 0.346 -2.259
-0.243 -0.154 -0.159
-0.843 0.446 -2.459
-0.743 0.246 -2.059
-0.943 0.046 -2.259
-1.243 0.546 -2.759
-0.643 0.346 -2.359
-0.343 0.446 -2.459
-1.243 0.346 -2.359
-1.143 0.146 -2.159
-1.443 -0.154 -2.359
-1.043 -0.054 -2.359
-0.843 -0.754 -0.459
-0.843 -1.054 -0.259
-0.443 0.846 -2.059
-1.043 0.346 -2.159
-1.443 0.146 -2.459
-0.943 -0.654 -0.459
-0.343 -0.654 -0.059
-1.043 0.346 -1.859
-0.943 -0.054 -2.359
-1.343 -0.754 -2.459
-1.543 -0.054 -2.659
-0.643 -0.354 0.141
-0.843 0.546 -2.359
-0.643 0.446 -2.259
-0.343 1.146 -2.359
-0.843 -0.054 -2.159
-0.743 0.446 -2.359
-1.043 0.046 -2.159
-0.743 0.746 -2.159
-0.643 1.046 -2.259
-0.043 0.946 -2.559
-0.943 0.046 -2.259
-0.443 0.646 -2.259
-0.743 0.446 -2.359
-0.343 -0.654 0.041
-0.443 0.346 -2.059
-0.743 0.346 -2.259
