1.057 0.046 1.141
0.757 -0.154 0.841
0.157 -0.854 0.241
-1.143 0.146 -2.459
0.857 -0.554 2.041
-0.943 0.046 -2.259
-0.843 0.346 -2.259
-0.843 0.246 -2.359
1.357 0.146 2.241
-0.343 -0.554 0.241
-0.343 -0.754 0.241
1.357 -0.054 2.041
-0.443 0.846 -2.459
-0.843 0.146 -2.559
-0.043 -0.454 0.241
-0.743 -0.554 -0.759
-0.243 -0.554 0.141
-0.043 -0.354 0.341
0.457 -0.754 0.641
0.457 -0.554 1.241
0.957 -0.054 1.741
1.457 -0.154 2.541
-1.043 -0.054 -2.359
1.257 -0.054 2.141
-0.143 -0.454 -0.259
-0.543 0.646 -2.259
-0.143 0.746 -2.059
-0.443 0.346 -2.259
1.057 0.046 1.641
1.857 -0.054 2.341
0.257 -0.254 0.941
0.557 -0.354 1.541
-0.843 0.446 -2.459
-0.743 0.246 -2.059
-0.943 0.046 -2.259
-0.643 0.346 -2.359
1.857 -0.454 3.141
0.257 -0.254 0.241
-0.343 0.446 -2.459
0.357 -0.254 1.041
-1.043 -0.054 -2.359
-0.843 -0.754 -0.459
0.557 0.146 0.741
0.857 -0.054 1.241
-0.843 -1.054 -0.259
0.457 -0.354 1.141
0.357 -0.854 0.741
0.157 -0.854 1.241
1.557 -0.254 2.341
1.157 0.146 0.941
-0.343 -0.654 -0.059
0.957 -0.254 1.041
0.857 0.046 0.641
-0.943 -0.054 -2.359
-1.343 -0.754 -2.459
0.557 -0.154 0.541
-0.643 0.446 -2.259
-0.043 -0.354 0.141
1.757 -0.054 2.841
0.457 -0.554 1.141
-0.843 -0.054 -2.159
0.857 0.046 0.941
-0.743 0.446 -2.359
-1.043 0.046 -2.159
0.757 -0.054 0.641
1.857 -0.254 2.941
-0.043 0.946 -2.559
-0.943 0.046 -2.259
-0.443 0.646 -2.259
-0.743 0.446 -2.359
-0.343 -0.654 0.041
1.057 0.046 1.341
0.357 -0.154 0.541
0.657 -0.254 0.841
-0.443 0.346 -2.059
0.857 -0.054 1.441
-0.743 0.346 -2.259
