0.057 -0.054 0.441
-1.243 0.146 -2.359
0.657 -0.054 2.041
-0.043 -0.354 1.341
0.857 0.046 1.841
-0.743 0.646 -2.259
-0.743 0.746 -2.259
-0.143 -0.054 0.441
0.257 -0.054 1.141
-0.843 0.346 -2.159
-0.143 -0.254 0.341
0.057 -0.054 1.341
0.657 -0.054 1.441
-0.143 1.346 -2.259
-0.943 -0.554 0.741
-0.843 0.446 -2.159
-1.243 0.046 -2.259
0.957 0.146 2.141
-0.143 -0.554 1.241
-0.743 0.746 -1.859
-0.243 -0.054 0.741
0.257 -0.054 0.841
-0.243 -0.354 0.441
-0.143 -0.154 0.441
-0.243 -0.254 1.141
-1.443 -0.054 -2.459
0.457 0.246 2.241
0.457 0.346 1.841
-0.243 -0.154 -0.159
0.257 -0.454 1.841
-0.243 -0.054 0.341
-0.443 -0.054 0.741
-0.043 -0.254 1.341
-1.243 0.546 -2.759
2.057 0.746 2.641
-1.243 0.346 -2.359
-1.143 0.146 -2.159
-1.443 -0.154 -2.359
0.157 -0.154 0.741
0.357 0.346 1.641
0.457 -0.154 1.841
0.057 0.146 1.041
0.857 0.246 1.941
-0.443 0.846 -2.059
-1.043 0.346 -2.159
-1.443 0.146 -2.459
0.557 0.146 1.541
-0.943 -0.654 -0.459
0.457 0.246 0.941
0.257 -0.154 0.941
0.657 0.146 1.341
0.857 0.246 1.941
-1.043 0.346 -1.859
1.057 0.146 1.941
-1.543 -0.054 -2.659
-0.643 -0.354 0.141
-0.843 0.546 -2.359
-0.343 1.146 -2.359
0.457 -0.254 1.341
0.557 0.046 1.741
-0.043 -0.354 1.341
0.157 -0.354 1.341
-0.143 -0.254 0.741
-0.743 0.746 -2.159
0.557 -0.254 1.841
-0.643 1.046 -2.259
0.557 -0.254 1.841
0.157 0.346 0.741
0.657 -0.054 1.741
1.357 0.546 2.341
0.157 -0.054 1.041
-0.343 -0.454 0.641
1.857 0.746 2.941
