4.35 0.010631113  0  1
4.45 0.043329723  0  4
4.55 0.054510436  0  5
4.65 0.100752571  0  9
4.75 0.124852477  0 11
4.85 0.188318528  0 16
4.95 0.183491493  2 20
5.05 0.256415525  4 28
5.15 0.370125625  5 36
5.25 0.409605119  6 39
5.35 0.430348842  6 40
5.45 0.530774858  7 45
5.55 0.504861459 12 47
5.65 0.424604771 18 47
5.75 0.422313281 24 49
5.85 0.409264366 30 50
5.95 0.381826118 33 50
6.05 0.331517305 39 50
6.15 0.286228608 45 50
6.25 0.258344410 49 50
6.35 0.201148214 58 50
6.45 0.161064911 65 50
6.55 0.134400829 70 50
6.65 0.124145530 72 50
6.75 0.085224110 80 50
6.85 0.071419290 83 50
6.95 0.053619156 87 50
7.05 0.049271947 88 50
7.15 0.044964339 89 50
7.25 0.032271957 92 50
7.35 0.028115686 93 50
7.50 0.023995576 94 50
7.65 0.019910996 95 50
7.80 0.003915870 99 50
