2.10 0.003915870   1  0
2.25 0.015861327   4  0
2.35 0.009295469   7  1
2.45 0.018431068  10  1
2.55 0.047693573  18  1
2.65 0.068488505  23  1
2.75 0.110099684  32  1
2.85 0.186251348  46  1
2.95 0.215428323  55  2
3.05 0.239488432  75  8
3.15 0.219111422  82 13
3.25 0.228559352  90 18
3.35 0.253093468  94 20
3.45 0.177563684  97 29
3.55 0.106002660  97 35
3.65 0.099119774  98 37
3.75 0.067242797  98 40
3.85 0.065838567 100 44
3.95 0.043329723 100 46
4.05 0.032292236 100 47
4.15 0.021393973 100 48
4.30 0.010631113 100 49
