5.9 0.0
6.9 0.0
6.6 0.0
4.6 0.0
6 0.0
4.7 0.0
6.5 0.0
5.8 0.0
6.7 0.0
6.7 0.01
5.1 0.0
5.1 0.01
5.7 0.0
6.1 0.0
4.9 0.0
5 0.0
5 0.01
5.7 0.01
5 0.02
7.2 0.0
5.9 0.01
6.5 0.01
5.7 0.02
5.5 0.0
4.9 0.01
5 0.03
5.5 0.01
4.6 0.01
7.2 0.01
6.8 0.0
5.4 0.0
5 0.04
5.7 0.03
5.8 0.01
5.1 0.02
5.6 0.0
5.8 0.02
5.1 0.03
6.3 0.0
6.3 0.01
5.6 0.01
6.1 0.01
6.8 0.01
7.3 0.0
5.6 0.02
4.8 0.0
7.1 0.0
5.7 0.04
5.3 0.0
5.7 0.05
5.7 0.06
5.6 0.03
4.4 0.0
6.3 0.02
5.4 0.01
6.3 0.03
6.9 0.01
7.7 0.0
6.1 0.02
5.6 0.04
6.1 0.03
6.4 0.0
5 0.05
5.1 0.04
5.6 0.05
5.4 0.02
5.8 0.03
4.9 0.02
4.6 0.02
5.2 0.0
7.9 0.0
7.7 0.01
6.1 0.04
5.5 0.02
4.6 0.03
4.7 0.01
4.4 0.01
6.2 0.0
4.8 0.01
6 0.01
6.2 0.01
5 0.06
6.4 0.01
6.3 0.04
6.7 0.02
5 0.07
5.9 0.02
6.7 0.03
5.4 0.03
6.3 0.05
4.8 0.02
4.4 0.02
6.4 0.02
6.2 0.02
6 0.02
7.4 0.0
4.9 0.03
7 0.0
5.5 0.03
6.3 0.06
6.8 0.02
6.1 0.05
6.5 0.02
6.7 0.04
6.7 0.05
4.8 0.03
4.9 0.04
6.9 0.02
4.5 0.0
4.3 0.0
5.2 0.01
5 0.08
6.4 0.03
5.2 0.02
5.8 0.04
5.5 0.04
7.6 0.0
6.3 0.07
6.4 0.04
6.3 0.08
5.8 0.05
5 0.09
6.7 0.06
6 0.03
5.1 0.05
4.8 0.04
5.7 0.07
5.1 0.06
6.6 0.01
6.4 0.05
5.2 0.03
6.4 0.06
7.7 0.02
5.8 0.06
4.9 0.05
5.4 0.04
5.1 0.07
6 0.04
6.5 0.03
5.5 0.05
7.2 0.02
6.9 0.03
6.2 0.03
6.5 0.04
6 0.05
5.4 0.05
5.5 0.06
6.7 0.07
7.7 0.03
5.1 0.08
