1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
1 3
0.98 2.93
0.98 2.93
0.98 2.93
0.98 2.93
0.97 2.91
0.97 2.91
0.96 2.88
0.96 2.88
0.95 2.84
0.93 2.8
0.92 2.75
0.92 2.75
0.92 2.75
0.92 2.75
0.91 2.74
0.91 2.73
0.91 2.73
0.91 2.73
0.91 2.72
0.91 2.72
0.89 2.68
0.89 2.67
0.89 2.67
0.89 2.67
0.89 2.67
0.87 2.61
0.87 2.6
0.83 2.5
0.83 2.5
0.8 2.39
0.77 2.31
0.72 2.17
0.71 2.13
0.7 2.09
0.64 1.92
0.62 1.86
0.6 1.79
0.42 1.26
0.37 1.11
0.32 0.95
0.29 0.87
0.28 0.83
0.26 0.79
0.19 0.56
