30 1 0.966666666666667 -29 0.730693040452846 -0.147044363088754 0.0333333333333333 30 7.5 0.25 ; 23 41 51
27 1 0.962962962962963 -26 0.697503884014663 -0.0600538583614213 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 41
46 11 0.760869565217391 -3.18181818181818 0.87406293479704 -0.17601267336874 0.239130434782609 4.18181818181818 2.72727272727273 0.652173913043478 ; 33 43
17 1 0.941176470588235 -16 0.306539619836745 -0.111702266904335 0.0588235294117647 17 2.65238194299979 0.156022467235282 ; 21 33 43
15 8 0.466666666666667 -0.875 -0.157949748324146 -0.358248342213463 0.533333333333333 1.875 0.730994152046784 0.389863547758285 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.0502895507473768 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 7 0.611111111111111 -1.57142857142857 0.313909448441731 -0.0758024940040699 0.388888888888889 2.57142857142857 2.84210526315789 1.10526315789474 ; 22 31 51
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 41 51
32 13 0.59375 -1.46153846153846 0.44657840569979 -0.122883990830143 0.40625 2.46153846153846 1.87134502923977 0.760233918128655 ; 21 32
47 18 0.617021276595745 -1.61111111111111 0.791320018671387 -0.0482512206506943 0.382978723404255 2.61111111111111 2.38983050847458 0.915254237288136 ; 11 41
23 5 0.782608695652174 -3.6 0.299726121052415 -0.279144069821348 0.217391304347826 4.6 1.6812865497076 0.365497076023392 ; 12 21
37 3 0.918918918918919 -11.3333333333333 0.711202939946268 -0.0489316380331799 0.0810810810810811 12.3333333333333 5.98275242544017 0.485088034495149 ; 13 33 43
21 3 0.857142857142857 -6 0.535550484560389 -0.0367415891169307 0.142857142857143 7 5.83333333333333 0.833333333333334 ; 12 32 52
12 3 0.75 -3 0.228380984099499 -0.0757302039236159 0.25 4 2.02020202020202 0.505050505050505 ; 13 32 42
32 2 0.9375 -15 0.606541389890074 -0.13604250281954 0.0625 16 5.19818063677713 0.324886289798571 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0659603113828406 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 11 0.592592592592593 -1.45454545454545 0.410304145386664 -0.100978278771173 0.407407407407407 2.45454545454545 1.90677966101695 0.77683615819209 ; 11 23
11 1 0.909090909090909 -10 0.332967166617389 -0.0889585393817035 0.0909090909090909 11 5.1789077212806 0.470809792843691 ; 11 32 42 52
12 4 0.666666666666667 -2 0.208520141506618 -0.0518939507175604 0.333333333333333 3 2.10526315789474 0.701754385964912 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.0552567465999895 0 Inf 5.10618983679104 0 ; 13 21 33 43
18 3 0.833333333333333 -5 0.222008262583023 -0.114823446630204 0.166666666666667 6 2.4085637823372 0.4014272970562 ; 11 22 31
15 16 -0.0666666666666667 0.0625 -0.116543309349613 -0.0874074820122098 1.06666666666667 0.9375 0.789473684210526 0.842105263157895 ; 22 52
11 0 1 Inf 0.187049359228803 -0.103430586486216 0 Inf 4.54290150989527 0 ; 11 21 32 42
39 1 0.974358974358974 -38 0.720659878507205 -0.096157320687012 0.0256410256410256 39 5.80165289256199 0.148760330578512 ; 13 33 53
10 3 0.7 -2.33333333333333 0.264958600999098 -0.0661445505563611 0.3 3.33333333333333 2.27272727272727 0.681818181818182 ; 12 33 53
23 7 0.695652173913043 -2.28571428571429 0.353408361084115 -0.0566979857041686 0.304347826086957 3.28571428571429 3.00130491518051 0.913440626359287 ; 13 22 33
17 2 0.882352941176471 -7.5 0.317948128687405 -0.066801216899202 0.117647058823529 8.5 2.91762013729977 0.34324942791762 ; 21 43 53
22 2 0.909090909090909 -10 0.545539072777276 -0.0527477772139741 0.0909090909090909 11 5.09259259259259 0.462962962962963 ; 12 42 52
12 21 -0.75 0.428571428571429 -0.152855695910666 0.116889649814039 1.75 0.571428571428571 0.701754385964912 1.2280701754386 ; 22 32
