30 0 1 Inf 0.730693040452846 -0.134968823804336 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0504275115161661 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 15 0.673913043478261 -2.06666666666667 0.87406293479704 -0.0560040324355083 0.326086956521739 3.06666666666667 2.72727272727273 0.889328063241107 ; 33 43
17 6 0.647058823529412 -1.83333333333333 0.306539619836745 -0.0319843005253608 0.352941176470588 2.83333333333333 2.65238194299979 0.936134803411691 ; 21 33 43
15 18 -0.2 0.166666666666667 -0.157949748324146 -0.0721074938001538 1.2 0.833333333333333 0.730994152046784 0.87719298245614 ; 22 42
16 3 0.8125 -4.33333333333333 0.264330478638812 -0.0895346530577066 0.1875 5.33333333333333 2.42424242424242 0.454545454545455 ; 13 42 52
18 4 0.777777777777778 -3.5 0.313909448441731 -0.0937860911246775 0.222222222222222 4.5 2.84210526315789 0.631578947368421 ; 22 31 51
50 12 0.76 -3.16666666666667 1 -0.14 0.24 4.16666666666667 3 0.72 ; 41 51
32 14 0.5625 -1.28571428571429 0.44657840569979 -0.0929122857496206 0.4375 2.28571428571429 1.87134502923977 0.818713450292398 ; 21 32
47 22 0.531914893617021 -1.13636363636364 0.791320018671387 0.067551708910972 0.468085106382979 2.13636363636364 2.38983050847458 1.11864406779661 ; 11 41
23 11 0.521739130434783 -1.09090909090909 0.299726121052415 -0.0861873395300936 0.478260869565217 2.09090909090909 1.6812865497076 0.804093567251462 ; 12 21
37 5 0.864864864864865 -6.4 0.711202939946268 -0.0380682337807332 0.135135135135135 7.4 5.98275242544017 0.808480057491915 ; 13 33 43
21 4 0.80952380952381 -4.25 0.535550484560389 0.0225280038670066 0.19047619047619 5.25 5.83333333333333 1.11111111111111 ; 12 32 52
12 4 0.666666666666667 -2 0.228380984099499 -0.0857534532801745 0.333333333333333 3 2.02020202020202 0.673400673400674 ; 13 32 42
32 0 1 Inf 0.606541389890074 -0.0968731977949599 0 Inf 5.19818063677713 0 ; 21 32 42
