30 0 1 Inf 0.730693040452846 -0.0397799755932928 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0509992702822554 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 18 0.608695652173913 -1.55555555555556 0.87406293479704 0.0340024482644157 0.391304347826087 2.55555555555556 2.72727272727273 1.06719367588933 ; 33 43
17 5 0.705882352941177 -2.4 0.306539619836745 -0.04169722635995 0.294117647058824 3.4 2.65238194299979 0.78011233617641 ; 21 33 43
15 18 -0.2 0.166666666666667 -0.157949748324146 -0.0721074938001538 1.2 0.833333333333333 0.730994152046784 0.87719298245614 ; 22 42
16 2 0.875 -7 0.264330478638812 -0.0887953475844487 0.125 8 2.42424242424242 0.303030303030303 ; 13 42 52
18 3 0.833333333333333 -5 0.313909448441731 -0.114362206233075 0.166666666666667 6 2.84210526315789 0.473684210526316 ; 22 31 51
50 16 0.68 -2.125 1 -0.02 0.32 3.125 3 0.96 ; 41 51
32 13 0.59375 -1.46153846153846 0.44657840569979 -0.122883990830143 0.40625 2.46153846153846 1.87134502923977 0.760233918128655 ; 21 32
47 18 0.617021276595745 -1.61111111111111 0.791320018671387 -0.0482512206506943 0.382978723404255 2.61111111111111 2.38983050847458 0.915254237288136 ; 11 41
23 13 0.434782608695652 -0.769230769230769 0.299726121052415 -0.0218684294330088 0.565217391304348 1.76923076923077 1.6812865497076 0.950292397660819 ; 12 21
37 6 0.837837837837838 -5.16666666666667 0.711202939946268 -0.0467749275964864 0.162162162162162 6.16666666666667 5.98275242544017 0.970176068990299 ; 13 33 43
21 0 1 Inf 0.535550484560389 -0.0954497265440854 0 Inf 5.83333333333333 0 ; 12 32 52
12 3 0.75 -3 0.228380984099499 -0.0333770597948434 0.25 4 2.02020202020202 0.505050505050505 ; 13 32 42
32 4 0.875 -7 0.606541389890074 -0.0939378269362433 0.125 8 5.19818063677713 0.649772579597141 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0643558704705975 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 16 0.407407407407407 -0.6875 0.410304145386664 0.0587974787781513 0.592592592592593 1.6875 1.90677966101695 1.12994350282486 ; 11 23
11 1 0.909090909090909 -10 0.332967166617389 -0.0586777539349182 0.0909090909090909 11 5.1789077212806 0.470809792843691 ; 11 32 42 52
12 3 0.75 -3 0.208520141506618 -0.0715433743547597 0.25 4 2.10526315789474 0.526315789473684 ; 22 32 52
12 1 0.916666666666667 -11 0.363669150724521 -0.0731794566824807 0.0833333333333333 12 5.10618983679104 0.425515819732587 ; 13 21 33 43
18 5 0.722222222222222 -2.6 0.222008262583023 -0.125091354220315 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 31
15 18 -0.2 0.166666666666667 -0.116543309349613 -0.0291358273374033 1.2 0.833333333333333 0.789473684210526 0.947368421052632 ; 22 52
11 1 0.909090909090909 -10 0.187049359228803 -0.0694966057587882 0.0909090909090909 11 4.54290150989527 0.412991046354115 ; 11 21 32 42
39 3 0.923076923076923 -12 0.720659878507205 -0.0853102920738229 0.0769230769230769 13 5.80165289256199 0.446280991735537 ; 13 33 53
10 1 0.9 -9 0.264958600999098 -0.118822499004768 0.1 10 2.27272727272727 0.227272727272727 ; 12 33 53
23 4 0.826086956521739 -4.75 0.353408361084115 -0.12354594095716 0.173913043478261 5.75 3.00130491518051 0.521966072205307 ; 13 22 33
17 2 0.882352941176471 -7.5 0.317948128687405 -0.0974709976533094 0.117647058823529 8.5 2.91762013729977 0.34324942791762 ; 21 43 53
22 2 0.909090909090909 -10 0.545539072777276 -0.105700597255795 0.0909090909090909 11 5.09259259259259 0.462962962962963 ; 12 42 52
12 14 -0.166666666666667 0.142857142857143 -0.152855695910666 -0.0929122857496206 1.16666666666667 0.857142857142857 0.701754385964912 0.818713450292398 ; 22 32
21 16 0.238095238095238 -0.3125 0.0028501597951257 -0.139657829961159 0.761904761904762 1.3125 1.00478468899522 0.76555023923445 ; 13 21
49 15 0.693877551020408 -2.26666666666667 0.913346259032624 -0.0883883476483184 0.306122448979592 3.26666666666667 2.72222222222222 0.833333333333333 ; 42 52
20 6 0.7 -2.33333333333333 0.343037735658155 -0.0487722229326272 0.3 3.33333333333333 3.12044934470564 0.936134803411691 ; 13 22 43
18 3 0.833333333333333 -5 0.404701496513842 -0.064301485579632 0.166666666666667 6 7.2256913470116 1.2042818911686 ; 11 22 41 51
27 3 0.888888888888889 -8 0.599221241579107 -0.039248133680946 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0525685304343272 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 4 0.80952380952381 -4.25 0.327681968422467 -0.116951619029877 0.19047619047619 5.25 3.01435406698565 0.574162679425837 ; 13 22 53
15 4 0.733333333333333 -2.75 0.239401969279088 -0.104544875656322 0.266666666666667 3.75 1.9573727707699 0.521966072205307 ; 13 21 33
43 15 0.651162790697674 -1.86666666666667 0.655502392344498 -0.148325358851675 0.348837209302326 2.86666666666667 2.13223140495868 0.743801652892562 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0640908550081216 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 4 0.636363636363636 -1.75 -0.00913346719548128 -0.0498807156727808 0.363636363636364 2.75 1.36287045296858 0.495589255624938 ; 11 21 42
11 3 0.727272727272727 -2.66666666666667 0.158099890904008 -0.123383080067248 0.272727272727273 3.66666666666667 1.86440677966102 0.508474576271187 ; 11 32 52
34 18 0.470588235294118 -0.888888888888889 0.437037410061049 -0.0291358273374033 0.529411764705882 1.88888888888889 1.78947368421053 0.947368421052632 ; 21 52
10 9 0.1 -0.111111111111111 -0.0662266178532522 -0.0993399267798783 0.9 1.11111111111111 0.833333333333333 0.75 ; 12 53
10 0 1 Inf 0.17867948668727 -0.0525695904424597 0 Inf 3.71691941718704 0 ; 11 21 42 52
44 5 0.886363636363636 -7.8 0.893725749918909 -0.032035948252007 0.113636363636364 8.8 8.14814814814815 0.925925925925926 ; 32 42 52
11 4 0.636363636363636 -1.75 0.133241806221576 -0.038343672309337 0.363636363636364 2.75 1.55367231638418 0.56497175141243 ; 11 42 52
18 0 1 Inf 0.404701496513842 -0.0938385500905026 0 Inf 7.2256913470116 0 ; 11 22 31 51
47 20 0.574468085106383 -1.35 0.791320018671387 0.00965024413013886 0.425531914893617 2.35 2.38983050847458 1.01694915254237 ; 11 51
12 2 0.833333333333333 -5 0.197532073835983 -0.0997007971171646 0.166666666666667 6 1.87226960682338 0.312044934470564 ; 13 21 43
24 12 0.5 -1 0.145679136687016 -0.203950791361823 0.5 2 1.26315789473684 0.631578947368421 ; 22 53
16 16 0 0 -0.0684762383262326 -0.0684762383262326 1 1 0.872727272727273 0.872727272727273 ; 13 52
16 0 1 Inf 0.478925825411959 -0.101983008564323 0 Inf 9.74658869395712 0 ; 12 21 42 52
21 16 0.238095238095238 -0.3125 0.0582716546748065 -0.0874074820122098 0.761904761904762 1.3125 1.10526315789474 0.842105263157895 ; 21 53
20 0 1 Inf 0.44852772186809 -0.0572619539720276 0 Inf 9.36134803411692 0 ; 13 22 43 53
45 4 0.911111111111111 -10.25 0.894635505056936 -0.0744748163173617 0.0888888888888889 11.25 8.00395256916996 0.711462450592886 ; 33 43 53
18 6 0.666666666666667 -2 0.313909448441731 -0.0649383213414732 0.333333333333333 3 2.84210526315789 0.947368421052632 ; 22 41 51
18 16 0.111111111111111 -0.125 -0.0291358273374033 -0.0874074820122098 0.888888888888889 1.125 0.947368421052632 0.842105263157895 ; 22 51
50 2 0.96 -24 1 -0.09 0.04 25 9 0.36 ; 31 41 51
14 5 0.642857142857143 -1.8 0.212951067119622 -0.0632105562619585 0.357142857142857 2.8 2.04678362573099 0.730994152046784 ; 22 42 52
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 31 51
34 4 0.882352941176471 -7.5 0.616852624040045 -0.12043872594462 0.117647058823529 8.5 4.97076023391813 0.584795321637427 ; 21 42 52
24 2 0.916666666666667 -11 0.406504100730533 -0.128988235674538 0.0833333333333333 12 3.44497607655502 0.287081339712919 ; 22 33 53
44 12 0.727272727272727 -2.66666666666667 0.894959429780133 -0.0925820099772551 0.272727272727273 3.66666666666667 2.93333333333333 0.8 ; 32 52
47 0 1 Inf 0.895660009335693 -0.0643004882602777 0 Inf 21.5084745762712 0 ; 11 31 41 51
18 14 0.222222222222222 -0.285714285714286 -0.0291358273374033 -0.145679136687016 0.777777777777778 1.28571428571429 0.947368421052632 0.736842105263158 ; 22 31
12 10 0.166666666666667 -0.2 -0.169753409684498 -0.229316009573796 0.833333333333333 1.2 0.677966101694915 0.56497175141243 ; 11 32
30 1 0.966666666666667 -29 0.730693040452846 -0.0797799755932928 0.0333333333333333 30 7.5 0.25 ; 23 31 41
15 1 0.933333333333333 -14 0.364583384153451 -0.0686887847372163 0.0666666666666667 15 3.65497076023392 0.243664717348928 ; 12 21 32
12 0 1 Inf 0.404162067130837 -0.0582629625560561 0 Inf 6.06060606060606 0 ; 13 32 42 52
23 20 0.130434782608696 -0.15 0.0598533556976396 -0.0256514381561313 0.869565217391304 1.15 1.10047846889952 0.956937799043062 ; 21 33
17 1 0.941176470588235 -16 0.464622349093135 -0.0783210097180935 0.0588235294117647 17 7.95714582899938 0.468067401705846 ; 21 33 43 53
15 0 1 Inf 0.464998898415737 -0.0767062378721353 0 Inf 10.9649122807018 0 ; 12 21 32 52
23 1 0.956521739130435 -22 0.532942028372085 -0.053279542216589 0.0434782608695652 23 10.7655502392345 0.468067401705846 ; 22 33 43 53
12 1 0.916666666666667 -11 0.375638082695384 -0.0483772419405331 0.0833333333333333 12 5.84795321637427 0.487329434697856 ; 22 32 42 52
21 1 0.952380952380952 -20 0.45206357718608 -0.113699021933849 0.0476190476190476 21 8.22096563723358 0.39147455415398 ; 13 22 33 53
