30 0 1 Inf 0.730693040452846 -0.0587422059510841 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0521278266872347 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 13 0.717391304347826 -2.53846153846154 0.87406293479704 -0.116008352902124 0.282608695652174 3.53846153846154 2.72727272727273 0.770750988142293 ; 33 43
17 3 0.823529411764706 -4.66666666666667 0.306539619836745 -0.0610580344647632 0.176470588235294 5.66666666666667 2.65238194299979 0.468067401705846 ; 21 33 43
15 21 -0.4 0.285714285714286 -0.157949748324146 0.0137347607238388 1.4 0.714285714285714 0.730994152046784 1.0233918128655 ; 22 42
16 1 0.9375 -15 0.264330478638812 -0.0697948391065088 0.0625 16 2.42424242424242 0.151515151515152 ; 13 42 52
18 5 0.722222222222222 -2.6 0.313909448441731 -0.114074148678876 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 31 51
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 41 51
32 11 0.65625 -1.90909090909091 0.44657840569979 -0.182827400991189 0.34375 2.90909090909091 1.87134502923977 0.64327485380117 ; 21 32
47 17 0.638297872340426 -1.76470588235294 0.791320018671387 -0.0772019530411109 0.361702127659574 2.76470588235294 2.38983050847458 0.864406779661017 ; 11 41
23 10 0.565217391304348 -1.3 0.299726121052415 -0.118346794578636 0.434782608695652 2.3 1.6812865497076 0.730994152046784 ; 12 21
37 6 0.837837837837838 -5.16666666666667 0.711202939946268 -0.0493629801205187 0.162162162162162 6.16666666666667 5.98275242544017 0.970176068990299 ; 13 33 43
21 0 1 Inf 0.535550484560389 -0.0712391028292445 0 Inf 5.83333333333333 0 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.115526243445204 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 2 0.9375 -15 0.606541389890074 -0.127409554698557 0.0625 16 5.19818063677713 0.324886289798571 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0762602323937706 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 12 0.555555555555556 -1.25 0.410304145386664 -0.069023127261308 0.444444444444444 2.25 1.90677966101695 0.847457627118644 ; 11 23
11 0 1 Inf 0.332967166617389 -0.1025243006499 0 Inf 5.1789077212806 0 ; 11 32 42 52
12 2 0.833333333333333 -5 0.208520141506618 -0.111262413326934 0.166666666666667 6 2.10526315789474 0.350877192982456 ; 22 32 52
12 1 0.916666666666667 -11 0.363669150724521 -0.0449012878268516 0.0833333333333333 12 5.10618983679104 0.425515819732587 ; 13 21 33 43
18 7 0.611111111111111 -1.57142857142857 0.222008262583023 -0.0584664806509762 0.388888888888889 2.57142857142857 2.4085637823372 0.936663693131133 ; 11 22 31
15 15 0 0 -0.116543309349613 -0.116543309349613 1 1 0.789473684210526 0.789473684210526 ; 22 52
11 1 0.909090909090909 -10 0.187049359228803 -0.117289311040991 0.0909090909090909 11 4.54290150989527 0.412991046354115 ; 11 21 32 42
39 6 0.846153846153846 -5.5 0.720659878507205 -0.0572409834139103 0.153846153846154 6.5 5.80165289256199 0.892561983471075 ; 13 33 53
10 0 1 Inf 0.264958600999098 -0.0872049103929555 0 Inf 2.27272727272727 0 ; 12 33 53
23 5 0.782608695652174 -3.6 0.353408361084115 -0.0471286077137379 0.217391304347826 4.6 3.00130491518051 0.652457590256633 ; 13 22 33
17 3 0.823529411764706 -4.66666666666667 0.317948128687405 -0.0871862276572103 0.176470588235294 5.66666666666667 2.91762013729977 0.51487414187643 ; 21 43 53
22 3 0.863636363636364 -6.33333333333333 0.545539072777276 -0.0609256448079378 0.136363636363636 7.33333333333333 5.09259259259259 0.694444444444445 ; 12 42 52
12 15 -0.25 0.2 -0.152855695910666 -0.0629405806690979 1.25 0.8 0.701754385964912 0.87719298245614 ; 22 32
21 19 0.0952380952380952 -0.105263157894737 0.0028501597951257 -0.0541530361073882 0.904761904761905 1.10526315789474 1.00478468899522 0.909090909090909 ; 13 21
49 14 0.714285714285714 -2.5 0.913346259032624 -0.117851130197758 0.285714285714286 3.5 2.72222222222222 0.777777777777778 ; 42 52
20 2 0.9 -9 0.343037735658155 -0.0609141373431731 0.1 10 3.12044934470564 0.312044934470564 ; 13 22 43
18 0 1 Inf 0.404701496513842 -0.109024127219176 0 Inf 7.2256913470116 0 ; 11 22 41 51
27 1 0.962962962962963 -26 0.599221241579107 -0.070817232718557 0.037037037037037 27 5.72033898305085 0.211864406779661 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0584131489700729 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 6 0.714285714285714 -2.5 0.327681968422467 -0.0114588103633323 0.285714285714286 3.5 3.01435406698565 0.861244019138756 ; 13 22 53
15 5 0.666666666666667 -2 0.239401969279088 -0.037628075063319 0.333333333333333 3 1.9573727707699 0.652457590256633 ; 13 21 33
43 21 0.511627906976744 -1.04761904761905 0.655502392344498 0.0239234449760766 0.488372093023256 2.04761904761905 2.13223140495868 1.04132231404959 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0567953469733501 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 3 0.727272727272727 -2.66666666666667 -0.00913346719548128 -0.134183028644608 0.272727272727273 3.66666666666667 1.36287045296858 0.371691941718704 ; 11 21 42
11 4 0.636363636363636 -1.75 0.158099890904008 -0.0452395719495195 0.363636363636364 2.75 1.86440677966102 0.677966101694915 ; 11 32 52
34 18 0.470588235294118 -0.888888888888889 0.437037410061049 -0.0291358273374033 0.529411764705882 1.88888888888889 1.78947368421053 0.947368421052632 ; 21 52
10 10 0 0 -0.0662266178532522 -0.0662266178532522 1 1 0.833333333333333 0.833333333333333 ; 12 53
10 0 1 Inf 0.17867948668727 -0.0899809665564743 0 Inf 3.71691941718704 0 ; 11 21 42 52
44 0 1 Inf 0.893725749918909 -0.13314941648806 0 Inf 8.14814814814815 0 ; 32 42 52
11 2 0.818181818181818 -4.5 0.133241806221576 -0.114161024872125 0.181818181818182 5.5 1.55367231638418 0.282485875706215 ; 11 42 52
18 2 0.888888888888889 -8 0.404701496513842 -0.0846002423275743 0.111111111111111 9 7.2256913470116 0.8028545941124 ; 11 22 31 51
47 18 0.617021276595745 -1.61111111111111 0.791320018671387 -0.0482512206506943 0.382978723404255 2.61111111111111 2.38983050847458 0.915254237288136 ; 11 51
12 5 0.583333333333333 -1.4 0.197532073835983 -0.0315560616588055 0.416666666666667 2.4 1.87226960682338 0.78011233617641 ; 13 21 43
24 22 0.0833333333333333 -0.0909090909090909 0.145679136687016 0.0874074820122098 0.916666666666667 1.09090909090909 1.26315789473684 1.15789473684211 ; 22 53
16 16 0 0 -0.0684762383262326 -0.0684762383262326 1 1 0.872727272727273 0.872727272727273 ; 13 52
16 1 0.9375 -15 0.478925825411959 -0.0670611750233344 0.0625 16 9.74658869395712 0.60916179337232 ; 12 21 42 52
21 13 0.380952380952381 -0.615384615384615 0.0582716546748065 -0.17481496402442 0.619047619047619 1.61538461538462 1.10526315789474 0.68421052631579 ; 21 53
20 1 0.95 -19 0.44852772186809 -0.0394494685957604 0.05 20 9.36134803411692 0.468067401705846 ; 13 22 43 53
45 4 0.911111111111111 -10.25 0.894635505056936 -0.124919357196687 0.0888888888888889 11.25 8.00395256916996 0.711462450592886 ; 33 43 53
18 0 1 Inf 0.313909448441731 -0.162921918462081 0 Inf 2.84210526315789 0 ; 22 41 51
18 12 0.333333333333333 -0.5 -0.0291358273374033 -0.203950791361823 0.666666666666667 1.5 0.947368421052632 0.631578947368421 ; 22 51
50 3 0.94 -15.6666666666667 1 -0.06 0.06 16.6666666666667 9 0.54 ; 31 41 51
14 4 0.714285714285714 -2.5 0.212951067119622 -0.0735532262745107 0.285714285714286 3.5 2.04678362573099 0.584795321637427 ; 22 42 52
50 14 0.72 -2.57142857142857 1 -0.08 0.28 3.57142857142857 3 0.84 ; 31 51
