30 0 1 Inf 0.730693040452846 -0.14185551487771 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0984073637422609 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 12 0.739130434782609 -2.83333333333333 0.87406293479704 -0.146010513135432 0.260869565217391 3.83333333333333 2.72727272727273 0.711462450592885 ; 33 43
17 3 0.823529411764706 -4.66666666666667 0.306539619836745 -0.138847199695131 0.176470588235294 5.66666666666667 2.65238194299979 0.468067401705846 ; 21 33 43
15 19 -0.266666666666667 0.210526315789474 -0.157949748324146 -0.0434934089588229 1.26666666666667 0.789473684210526 0.730994152046784 0.925925925925926 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.0391859301208575 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 4 0.777777777777778 -3.5 0.313909448441731 -0.0849383213414732 0.222222222222222 4.5 2.84210526315789 0.631578947368421 ; 22 31 51
50 8 0.84 -5.25 1 -0.26 0.16 6.25 3 0.48 ; 41 51
32 14 0.5625 -1.28571428571429 0.44657840569979 -0.0929122857496206 0.4375 2.28571428571429 1.87134502923977 0.818713450292398 ; 21 32
47 13 0.723404255319149 -2.61538461538462 0.791320018671387 -0.193004882602777 0.276595744680851 3.61538461538462 2.38983050847458 0.661016949152542 ; 11 41
23 12 0.478260869565217 -0.916666666666667 0.299726121052415 -0.0540278844815512 0.521739130434783 1.91666666666667 1.6812865497076 0.87719298245614 ; 12 21
37 4 0.891891891891892 -8.25 0.711202939946268 -0.0580696739362719 0.108108108108108 9.25 5.98275242544017 0.646784045993532 ; 13 33 43
21 0 1 Inf 0.535550484560389 -0.0639557314107153 0 Inf 5.83333333333333 0 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.103104750975381 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 2 0.9375 -15 0.606541389890074 -0.105846574252329 0.0625 16 5.19818063677713 0.324886289798571 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0296713993385486 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 7 0.740740740740741 -2.85714285714286 0.410304145386664 -0.228798884810632 0.259259259259259 3.85714285714286 1.90677966101695 0.494350282485876 ; 11 23
11 1 0.909090909090909 -10 0.332967166617389 -0.0136739662446449 0.0909090909090909 11 5.1789077212806 0.470809792843691 ; 11 32 42 52
12 4 0.666666666666667 -2 0.208520141506618 -0.0798091000599188 0.333333333333333 3 2.10526315789474 0.701754385964912 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.102149922611866 0 Inf 5.10618983679104 0 ; 13 21 33 43
18 6 0.666666666666667 -2 0.222008262583023 -0.0110492077167469 0.333333333333333 3 2.4085637823372 0.8028545941124 ; 11 22 31
15 15 0 0 -0.116543309349613 -0.116543309349613 1 1 0.789473684210526 0.789473684210526 ; 22 52
11 0 1 Inf 0.187049359228803 -0.102721020378299 0 Inf 4.54290150989527 0 ; 11 21 32 42
39 3 0.923076923076923 -12 0.720659878507205 -0.0761667976243118 0.0769230769230769 13 5.80165289256199 0.446280991735537 ; 13 33 53
10 4 0.6 -1.5 0.264958600999098 0.0182050842177001 0.4 2.5 2.27272727272727 0.909090909090909 ; 12 33 53
23 5 0.782608695652174 -3.6 0.353408361084115 -0.0758367416850298 0.217391304347826 4.6 3.00130491518051 0.652457590256633 ; 13 22 33
17 6 0.647058823529412 -1.83333333333333 0.317948128687405 -0.0673901943679917 0.352941176470588 2.83333333333333 2.91762013729977 1.02974828375286 ; 21 43 53
22 3 0.863636363636364 -6.33333333333333 0.545539072777276 -0.0393877888918942 0.136363636363636 7.33333333333333 5.09259259259259 0.694444444444445 ; 12 42 52
12 13 -0.0833333333333333 0.0769230769230769 -0.152855695910666 -0.122883990830143 1.08333333333333 0.923076923076923 0.701754385964912 0.760233918128655 ; 22 32
21 15 0.285714285714286 -0.4 0.0028501597951257 -0.168159427912416 0.714285714285714 1.4 1.00478468899522 0.717703349282297 ; 13 21
49 24 0.510204081632653 -1.04166666666667 0.913346259032624 0.176776695296637 0.489795918367347 2.04166666666667 2.72222222222222 1.33333333333333 ; 42 52
20 6 0.7 -2.33333333333333 0.343037735658155 -0.0412689874933947 0.3 3.33333333333333 3.12044934470564 0.936134803411691 ; 13 22 43
18 0 1 Inf 0.404701496513842 -0.0858813888484036 0 Inf 7.2256913470116 0 ; 11 22 41 51
27 4 0.851851851851852 -5.75 0.599221241579107 -0.0495864820970105 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0916631361787217 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 2 0.904761904761905 -9.5 0.327681968422467 -0.0895065143553016 0.0952380952380952 10.5 3.01435406698565 0.287081339712919 ; 13 22 53
15 2 0.866666666666667 -6.5 0.239401969279088 -0.142340470237963 0.133333333333333 7.5 1.9573727707699 0.260983036102653 ; 13 21 33
43 18 0.581395348837209 -1.38888888888889 0.655502392344498 -0.062200956937799 0.418604651162791 2.38888888888889 2.13223140495868 0.892561983471074 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0766910450853543 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 4 0.636363636363636 -1.75 -0.00913346719548128 -0.115515112680583 0.363636363636364 2.75 1.36287045296858 0.495589255624938 ; 11 21 42
11 4 0.636363636363636 -1.75 0.158099890904008 -0.023863277758215 0.363636363636364 2.75 1.86440677966102 0.677966101694915 ; 11 32 52
34 19 0.441176470588235 -0.789473684210526 0.437037410061049 0 0.558823529411765 1.78947368421053 1.78947368421053 1 ; 21 52
10 12 -0.2 0.166666666666667 -0.0662266178532522 0 1.2 0.833333333333333 0.833333333333333 1 ; 12 53
10 2 0.8 -4 0.17867948668727 -0.021861277704093 0.2 5 3.71691941718704 0.743383883437407 ; 11 21 42 52
44 6 0.863636363636364 -6.33333333333333 0.893725749918909 0.036699668871139 0.136363636363636 7.33333333333333 8.14814814814815 1.11111111111111 ; 32 42 52
11 9 0.181818181818182 -0.222222222222222 0.133241806221576 0.0316082336701837 0.818181818181818 1.22222222222222 1.55367231638418 1.27118644067797 ; 11 42 52
