30 0 1 Inf 0.730693040452846 -0.0328932845199189 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0578817833305459 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 16 0.652173913043478 -1.875 0.87406293479704 -0.0260018722022003 0.347826086956522 2.875 2.72727272727273 0.948616600790514 ; 33 43
17 4 0.764705882352941 -3.25 0.306539619836745 -0.119558340151113 0.235294117647059 4.25 2.65238194299979 0.624089868941128 ; 21 33 43
15 19 -0.266666666666667 0.210526315789474 -0.157949748324146 -0.0434934089588229 1.26666666666667 0.789473684210526 0.730994152046784 0.925925925925926 ; 22 42
16 8 0.5 -1 0.264330478638812 -0.0599145604273802 0.5 2 2.42424242424242 1.21212121212121 ; 13 42 52
18 6 0.666666666666667 -2 0.313909448441731 -0.0560905515582688 0.333333333333333 3 2.84210526315789 0.947368421052632 ; 22 31 51
50 20 0.6 -1.5 1 0.1 0.4 2.5 3 1.2 ; 41 51
32 20 0.375 -0.6 0.44657840569979 0.0869179447335161 0.625 1.6 1.87134502923977 1.16959064327485 ; 21 32
47 16 0.659574468085106 -1.9375 0.791320018671387 -0.106152685431527 0.340425531914894 2.9375 2.38983050847458 0.813559322033898 ; 11 41
23 14 0.391304347826087 -0.642857142857143 0.299726121052415 0.0102910256155336 0.608695652173913 1.64285714285714 1.6812865497076 1.0233918128655 ; 12 21
37 5 0.864864864864865 -6.4 0.711202939946268 -0.0589323581109493 0.135135135135135 7.4 5.98275242544017 0.808480057491915 ; 13 33 43
21 3 0.857142857142857 -6 0.535550484560389 -0.0289064461203573 0.142857142857143 7 5.83333333333333 0.833333333333334 ; 12 32 52
12 3 0.75 -3 0.228380984099499 -0.0848418144830443 0.25 4 2.02020202020202 0.505050505050505 ; 13 32 42
32 5 0.84375 -5.4 0.606541389890074 -0.046467815914358 0.15625 6.4 5.19818063677713 0.812215724496426 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0707036050640211 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 15 0.444444444444444 -0.8 0.410304145386664 0.0268423272682865 0.555555555555556 1.8 1.90677966101695 1.05932203389831 ; 11 23
11 0 1 Inf 0.332967166617389 -0.117466030694283 0 Inf 5.1789077212806 0 ; 11 32 42 52
12 1 0.916666666666667 -11 0.208520141506618 -0.120660338412511 0.0833333333333333 12 2.10526315789474 0.175438596491228 ; 22 32 52
12 1 0.916666666666667 -11 0.363669150724521 -0.103437742432315 0.0833333333333333 12 5.10618983679104 0.425515819732587 ; 13 21 33 43
18 7 0.611111111111111 -1.57142857142857 0.222008262583023 0.00871435806267247 0.388888888888889 2.57142857142857 2.4085637823372 0.936663693131133 ; 11 22 31
15 15 0 0 -0.116543309349613 -0.116543309349613 1 1 0.789473684210526 0.789473684210526 ; 22 52
11 1 0.909090909090909 -10 0.187049359228803 -0.0588154889915488 0.0909090909090909 11 4.54290150989527 0.412991046354115 ; 11 21 32 42
39 6 0.846153846153846 -5.5 0.720659878507205 -0.00811644283899868 0.153846153846154 6.5 5.80165289256199 0.892561983471075 ; 13 33 53
10 4 0.6 -1.5 0.264958600999098 -0.0516017105598537 0.4 2.5 2.27272727272727 0.909090909090909 ; 12 33 53
23 10 0.565217391304348 -1.3 0.353408361084115 -0.0281963877529116 0.434782608695652 2.3 3.00130491518051 1.30491518051327 ; 13 22 33
17 3 0.823529411764706 -4.66666666666667 0.317948128687405 -0.0861474421275825 0.176470588235294 5.66666666666667 2.91762013729977 0.51487414187643 ; 21 43 53
22 1 0.954545454545455 -21 0.545539072777276 -0.069134418034218 0.0454545454545455 22 5.09259259259259 0.231481481481482 ; 12 42 52
12 12 0 0 -0.152855695910666 -0.152855695910666 1 1 0.701754385964912 0.701754385964912 ; 22 32
21 17 0.19047619047619 -0.235294117647059 0.0028501597951257 -0.111156232009902 0.80952380952381 1.23529411764706 1.00478468899522 0.813397129186603 ; 13 21
49 12 0.755102040816326 -3.08333333333333 0.913346259032624 -0.176776695296637 0.244897959183673 4.08333333333333 2.72222222222222 0.666666666666667 ; 42 52
20 1 0.95 -19 0.343037735658155 -0.102129785693121 0.05 20 3.12044934470564 0.156022467235282 ; 13 22 43
18 3 0.833333333333333 -5 0.404701496513842 -0.0112670313671177 0.166666666666667 6 7.2256913470116 1.2042818911686 ; 11 22 41 51
27 4 0.851851851851852 -5.75 0.599221241579107 -0.0305993625906232 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0446980382633015 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 9 0.571428571428571 -1.33333333333333 0.327681968422467 -0.0121634170645679 0.428571428571429 2.33333333333333 3.01435406698565 1.29186602870813 ; 13 22 53
15 3 0.8 -4 0.239401969279088 -0.0851995836554255 0.2 5 1.9573727707699 0.39147455415398 ; 13 21 33
43 20 0.534883720930233 -1.15 0.655502392344498 -0.00478468899521531 0.465116279069767 2.15 2.13223140495868 0.991735537190083 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0359143063262956 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 6 0.454545454545455 -0.833333333333333 -0.00913346719548128 -0.0775447799646112 0.545454545454545 1.83333333333333 1.36287045296858 0.743383883437407 ; 11 21 42
11 4 0.636363636363636 -1.75 0.158099890904008 -0.131925900791744 0.363636363636364 2.75 1.86440677966102 0.677966101694915 ; 11 32 52
34 14 0.588235294117647 -1.42857142857143 0.437037410061049 -0.145679136687016 0.411764705882353 2.42857142857143 1.78947368421053 0.736842105263158 ; 21 52
10 8 0.2 -0.25 -0.0662266178532522 -0.132453235706504 0.8 1.25 0.833333333333333 0.666666666666667 ; 12 53
10 0 1 Inf 0.17867948668727 -0.124682509080044 0 Inf 3.71691941718704 0 ; 11 21 42 52
