30 0 1 Inf 0.730693040452846 -0.134968823804336 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0065535503556181 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 11 0.760869565217391 -3.18181818181818 0.87406293479704 -0.17601267336874 0.239130434782609 4.18181818181818 2.72727272727273 0.652173913043478 ; 33 43
17 1 0.941176470588235 -16 0.306539619836745 -0.150989114105677 0.0588235294117647 17 2.65238194299979 0.156022467235282 ; 21 33 43
15 20 -0.333333333333333 0.25 -0.157949748324146 -0.0148793241174921 1.33333333333333 0.75 0.730994152046784 0.974658869395711 ; 22 42
16 3 0.8125 -4.33333333333333 0.264330478638812 -0.117753350252696 0.1875 5.33333333333333 2.42424242424242 0.454545454545455 ; 13 42 52
18 5 0.722222222222222 -2.6 0.313909448441731 -0.00695472422086558 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 31 51
50 12 0.76 -3.16666666666667 1 -0.14 0.24 4.16666666666667 3 0.72 ; 41 51
32 18 0.4375 -0.777777777777778 0.44657840569979 0.0269745345724705 0.5625 1.77777777777778 1.87134502923977 1.05263157894737 ; 21 32
47 24 0.48936170212766 -0.958333333333333 0.791320018671387 0.125453173691805 0.51063829787234 1.95833333333333 2.38983050847458 1.22033898305085 ; 11 41
23 12 0.478260869565217 -0.916666666666667 0.299726121052415 -0.0540278844815512 0.521739130434783 1.91666666666667 1.6812865497076 0.87719298245614 ; 12 21
37 4 0.891891891891892 -8.25 0.711202939946268 -0.0115168102461349 0.108108108108108 9.25 5.98275242544017 0.646784045993532 ; 13 33 43
21 0 1 Inf 0.535550484560389 -0.0414459750520378 0 Inf 5.83333333333333 0 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.123349826555897 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 3 0.90625 -9.66666666666667 0.606541389890074 -0.10573036940263 0.09375 10.6666666666667 5.19818063677713 0.487329434697856 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0511740242604599 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 17 0.37037037037037 -0.588235294117647 0.410304145386664 0.0907526302880161 0.62962962962963 1.58823529411765 1.90677966101695 1.20056497175141 ; 11 23
11 0 1 Inf 0.332967166617389 -0.117459784337878 0 Inf 5.1789077212806 0 ; 11 32 42 52
12 1 0.916666666666667 -11 0.208520141506618 -0.138655702286397 0.0833333333333333 12 2.10526315789474 0.175438596491228 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.0751938216079758 0 Inf 5.10618983679104 0 ; 13 21 33 43
