30 0 1 Inf 0.730693040452846 -0.0849688238043362 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0661082053462223 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 8 0.826086956521739 -4.75 0.87406293479704 -0.266019154068664 0.173913043478261 5.75 2.72727272727273 0.474308300395257 ; 33 43
17 1 0.941176470588235 -16 0.306539619836745 -0.120990406370584 0.0588235294117647 17 2.65238194299979 0.156022467235282 ; 21 33 43
15 24 -0.6 0.375 -0.157949748324146 0.0995770152478314 1.6 0.625 0.730994152046784 1.16959064327485 ; 22 42
16 3 0.8125 -4.33333333333333 0.264330478638812 -0.137279382018887 0.1875 5.33333333333333 2.42424242424242 0.454545454545455 ; 13 42 52
18 1 0.944444444444444 -17 0.313909448441731 -0.143786091124678 0.0555555555555556 18 2.84210526315789 0.157894736842105 ; 22 31 51
50 17 0.66 -1.94117647058824 1 0.01 0.34 2.94117647058824 3 1.02 ; 41 51
32 15 0.53125 -1.13333333333333 0.44657840569979 -0.0629405806690979 0.46875 2.13333333333333 1.87134502923977 0.87719298245614 ; 21 32
47 16 0.659574468085106 -1.9375 0.791320018671387 -0.106152685431527 0.340425531914894 2.9375 2.38983050847458 0.813559322033898 ; 11 41
23 12 0.478260869565217 -0.916666666666667 0.299726121052415 -0.0540278844815512 0.521739130434783 1.91666666666667 1.6812865497076 0.87719298245614 ; 12 21
37 2 0.945945945945946 -17.5 0.711202939946268 -0.138075434558426 0.0540540540540541 18.5 5.98275242544017 0.323392022996766 ; 13 33 43
21 2 0.904761904761905 -9.5 0.535550484560389 -0.0921295453946659 0.0952380952380952 10.5 5.83333333333333 0.555555555555556 ; 12 32 52
12 5 0.583333333333333 -1.4 0.228380984099499 -0.093121216992302 0.416666666666667 2.4 2.02020202020202 0.841750841750842 ; 13 32 42
32 3 0.90625 -9.66666666666667 0.606541389890074 -0.0779092529774166 0.09375 10.6666666666667 5.19818063677713 0.487329434697856 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0990743463016948 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 13 0.518518518518518 -1.07692307692308 0.410304145386664 -0.0370679757514432 0.481481481481481 2.07692307692308 1.90677966101695 0.918079096045198 ; 11 23
11 0 1 Inf 0.332967166617389 -0.0742821658099313 0 Inf 5.1789077212806 0 ; 11 32 42 52
12 2 0.833333333333333 -5 0.208520141506618 -0.0824406033497549 0.166666666666667 6 2.10526315789474 0.350877192982456 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.108472699779921 0 Inf 5.10618983679104 0 ; 13 21 33 43
18 6 0.666666666666667 -2 0.222008262583023 -0.125770715995949 0.333333333333333 3 2.4085637823372 0.8028545941124 ; 11 22 31
15 17 -0.133333333333333 0.117647058823529 -0.116543309349613 -0.0582716546748065 1.13333333333333 0.882352941176471 0.789473684210526 0.894736842105263 ; 22 52
11 2 0.818181818181818 -4.5 0.187049359228803 -0.0494410383574212 0.181818181818182 5.5 4.54290150989527 0.82598209270823 ; 11 21 32 42
39 5 0.871794871794872 -6.8 0.720659878507205 -0.0663844778634214 0.128205128205128 7.8 5.80165289256199 0.743801652892562 ; 13 33 53
10 3 0.7 -2.33333333333333 0.264958600999098 -0.0598883100059304 0.3 3.33333333333333 2.27272727272727 0.681818181818182 ; 12 33 53
23 4 0.826086956521739 -4.75 0.353408361084115 -0.0758367416850298 0.173913043478261 5.75 3.00130491518051 0.521966072205307 ; 13 22 33
17 6 0.647058823529412 -1.83333333333333 0.317948128687405 -0.00817356374527071 0.352941176470588 2.83333333333333 2.91762013729977 1.02974828375286 ; 21 43 53
22 3 0.863636363636364 -6.33333333333333 0.545539072777276 -0.0746256604161561 0.136363636363636 7.33333333333333 5.09259259259259 0.694444444444445 ; 12 42 52
12 18 -0.5 0.333333333333333 -0.152855695910666 0.0269745345724705 1.5 0.666666666666667 0.701754385964912 1.05263157894737 ; 22 32
21 16 0.238095238095238 -0.3125 0.0028501597951257 -0.139657829961159 0.761904761904762 1.3125 1.00478468899522 0.76555023923445 ; 13 21
49 17 0.653061224489796 -1.88235294117647 0.913346259032624 -0.0294627825494395 0.346938775510204 2.88235294117647 2.72222222222222 0.944444444444445 ; 42 52
20 4 0.8 -4 0.343037735658155 -0.0221274775691816 0.2 5 3.12044934470564 0.624089868941128 ; 13 22 43
18 0 1 Inf 0.404701496513842 -0.0981495955145114 0 Inf 7.2256913470116 0 ; 11 22 41 51
27 3 0.888888888888889 -8 0.599221241579107 -0.0491277459063934 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.100934874194733 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 5 0.761904761904762 -3.2 0.327681968422467 -0.089788301465773 0.238095238095238 4.2 3.01435406698565 0.717703349282297 ; 13 22 53
15 5 0.666666666666667 -2 0.239401969279088 -0.0948378069858678 0.333333333333333 3 1.9573727707699 0.652457590256633 ; 13 21 33
43 18 0.581395348837209 -1.38888888888889 0.655502392344498 -0.062200956937799 0.418604651162791 2.38888888888889 2.13223140495868 0.892561983471074 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0797979419928614 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 5 0.545454545454545 -1.2 -0.00913346719548128 -0.0583029566812642 0.454545454545455 2.2 1.36287045296858 0.619486569531173 ; 11 21 42
11 2 0.818181818181818 -4.5 0.158099890904008 -0.0845601285019213 0.181818181818182 5.5 1.86440677966102 0.338983050847458 ; 11 32 52
34 20 0.411764705882353 -0.7 0.437037410061049 0.0291358273374033 0.588235294117647 1.7 1.78947368421053 1.05263157894737 ; 21 52
10 10 0 0 -0.0662266178532522 -0.0662266178532522 1 1 0.833333333333333 0.833333333333333 ; 12 53
10 2 0.8 -4 0.17867948668727 -0.0468980851145594 0.2 5 3.71691941718704 0.743383883437407 ; 11 21 42 52
44 1 0.977272727272727 -43 0.893725749918909 -0.124260413933566 0.0227272727272727 44 8.14814814814815 0.185185185185185 ; 32 42 52
11 4 0.636363636363636 -1.75 0.133241806221576 -0.0569571751603408 0.363636363636364 2.75 1.55367231638418 0.56497175141243 ; 11 42 52
18 0 1 Inf 0.404701496513842 -0.142604329563945 0 Inf 7.2256913470116 0 ; 11 22 31 51
47 11 0.765957446808511 -3.27272727272727 0.791320018671387 -0.25090634738361 0.234042553191489 4.27272727272727 2.38983050847458 0.559322033898305 ; 11 51
12 4 0.666666666666667 -2 0.197532073835983 -0.0799871512048061 0.333333333333333 3 1.87226960682338 0.624089868941128 ; 13 21 43
24 15 0.375 -0.6 0.145679136687016 -0.116543309349613 0.625 1.6 1.26315789473684 0.789473684210526 ; 22 53
16 11 0.3125 -0.454545454545455 -0.0684762383262326 -0.215211034739588 0.6875 1.45454545454545 0.872727272727273 0.6 ; 13 52
16 1 0.9375 -15 0.478925825411959 -0.0487104078919065 0.0625 16 9.74658869395712 0.60916179337232 ; 12 21 42 52
21 19 0.0952380952380952 -0.105263157894737 0.0582716546748065 0 0.904761904761905 1.10526315789474 1.10526315789474 1 ; 21 53
20 1 0.95 -19 0.44852772186809 -0.0533865265333503 0.05 20 9.36134803411692 0.468067401705846 ; 13 22 43 53
45 3 0.933333333333333 -14 0.894635505056936 -0.0953415780269746 0.0666666666666667 15 8.00395256916996 0.533596837944664 ; 33 43 53
18 4 0.777777777777778 -3.5 0.313909448441731 -0.0452263788956721 0.222222222222222 4.5 2.84210526315789 0.631578947368421 ; 22 41 51
18 16 0.111111111111111 -0.125 -0.0291358273374033 -0.0874074820122098 0.888888888888889 1.125 0.947368421052632 0.842105263157895 ; 22 51
50 5 0.9 -9 1 -0.08 0.1 10 9 0.9 ; 31 41 51
14 7 0.5 -1 0.212951067119622 0.00394752600786182 0.5 2 2.04678362573099 1.0233918128655 ; 22 42 52
50 12 0.76 -3.16666666666667 1 -0.14 0.24 4.16666666666667 3 0.72 ; 31 51
34 8 0.764705882352941 -3.25 0.616852624040045 -0.0146067880569531 0.235294117647059 4.25 4.97076023391813 1.16959064327485 ; 21 42 52
24 4 0.833333333333333 -5 0.406504100730533 -0.0886611530238875 0.166666666666667 6 3.44497607655502 0.574162679425837 ; 22 33 53
44 8 0.818181818181818 -4.5 0.894959429780133 -0.216024689946929 0.181818181818182 5.5 2.93333333333333 0.533333333333333 ; 32 52
47 1 0.978723404255319 -46 0.895660009335693 -0.112376830976041 0.0212765957446809 47 21.5084745762712 0.457627118644068 ; 11 31 41 51
18 12 0.333333333333333 -0.5 -0.0291358273374033 -0.203950791361823 0.666666666666667 1.5 0.947368421052632 0.631578947368421 ; 22 31
12 20 -0.666666666666667 0.4 -0.169753409684498 0.0684969898726922 1.66666666666667 0.6 0.677966101694915 1.12994350282486 ; 11 32
30 2 0.933333333333333 -14 0.730693040452846 -0.0587422059510841 0.0666666666666667 15 7.5 0.5 ; 23 31 41
15 1 0.933333333333333 -14 0.364583384153451 -0.0480730341536973 0.0666666666666667 15 3.65497076023392 0.243664717348928 ; 12 21 32
12 1 0.916666666666667 -11 0.404162067130837 -0.123343693035477 0.0833333333333333 12 6.06060606060606 0.505050505050505 ; 13 32 42 52
23 18 0.217391304347826 -0.277777777777778 0.0598533556976396 -0.0826546340586452 0.782608695652174 1.27777777777778 1.10047846889952 0.861244019138756 ; 21 33
17 0 1 Inf 0.464622349093135 -0.0638294665206687 0 Inf 7.95714582899938 0 ; 21 33 43 53
15 0 1 Inf 0.464998898415737 -0.0607035456662072 0 Inf 10.9649122807018 0 ; 12 21 32 52
23 1 0.956521739130435 -22 0.532942028372085 -0.0828251125457155 0.0434782608695652 23 10.7655502392345 0.468067401705846 ; 22 33 43 53
12 1 0.916666666666667 -11 0.375638082695384 -0.0507502244425336 0.0833333333333333 12 5.84795321637427 0.487329434697856 ; 22 32 42 52
21 1 0.952380952380952 -20 0.45206357718608 -0.0801676685095279 0.0476190476190476 21 8.22096563723358 0.39147455415398 ; 13 22 33 53
16 4 0.75 -3 0.367003309768784 -0.0193351220235914 0.25 4 3.50877192982456 0.877192982456141 ; 12 21 52
12 2 0.833333333333333 -5 0.230211055866128 -0.138713759197153 0.166666666666667 6 2.18181818181818 0.363636363636364 ; 13 32 52
27 3 0.888888888888889 -8 0.599221241579107 -0.0587779900365323 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 41
15 0 1 Inf 0.470970079589517 -0.0793845284161078 0 Inf 10.1526965562053 0 ; 12 21 32 42
37 14 0.621621621621622 -1.64285714285714 0.604043492697268 -0.0860061926688163 0.378378378378378 2.64285714285714 2.19367588932806 0.8300395256917 ; 13 43
24 2 0.916666666666667 -11 0.414043151057241 -0.120133928637474 0.0833333333333333 12 3.74453921364677 0.312044934470564 ; 22 33 43
30 1 0.966666666666667 -29 0.730693040452846 -0.134968823804336 0.0333333333333333 30 7.5 0.25 ; 23 31 51
31 1 0.967741935483871 -30 0.592858415180324 -0.0832764810928744 0.032258064516129 31 5.43859649122807 0.175438596491228 ; 21 32 52
49 18 0.63265306122449 -1.72222222222222 0.899973418001914 -0.00978231976089037 0.36734693877551 2.72222222222222 2.67272727272727 0.981818181818182 ; 33 53
12 7 0.416666666666667 -0.714285714285714 0.146801219425062 -0.0313509456438974 0.583333333333333 1.71428571428571 1.88323917137476 1.09855618330195 ; 11 32 42
20 4 0.8 -4 0.339366142791453 -0.0308123179398452 0.2 5 2.87081339712919 0.574162679425837 ; 21 33 53
47 17 0.638297872340426 -1.76470588235294 0.791320018671387 -0.0772019530411109 0.361702127659574 2.76470588235294 2.38983050847458 0.864406779661017 ; 11 31
38 19 0.5 -1 0.500174203026464 -0.0434934089588229 0.5 2 1.85185185185185 0.925925925925926 ; 21 42
18 17 0.0555555555555556 -0.0588235294117647 -0.0291358273374033 -0.0582716546748065 0.944444444444444 1.05882352941176 0.947368421052632 0.894736842105263 ; 22 41
18 0 1 Inf 0.404701496513842 -0.108622748015697 0 Inf 7.2256913470116 0 ; 11 22 31 41
10 5 0.5 -1 -0.0262430163170616 -0.0577254205596795 0.5 2 1.33809099018733 0.669045495093667 ; 11 21 52
19 19 0 0 -0.0961594035849142 -0.0961594035849142 1 1 0.847457627118644 0.847457627118644 ; 11 22
13 4 0.692307692307692 -2.25 0.222541879881712 -0.0889426622842446 0.307692307692308 3.25 1.86602870813397 0.574162679425837 ; 13 21 53
24 8 0.666666666666667 -2 0.359024561106316 -0.161300889772403 0.333333333333333 3 1.85185185185185 0.617283950617284 ; 12 42
