30 0 1 Inf 0.730693040452846 -0.123931054162128 0 Inf 7.5 0 ; 23 41 51
27 0 1 Inf 0.697503884014663 -0.0868019681022572 0 Inf 17.1610169491525 0 ; 11 23 31 41
46 16 0.652173913043478 -1.875 0.87406293479704 -0.0260018722022003 0.347826086956522 2.875 2.72727272727273 0.948616600790514 ; 33 43
17 4 0.764705882352941 -3.25 0.306539619836745 -0.0500569395322932 0.235294117647059 4.25 2.65238194299979 0.624089868941128 ; 21 33 43
15 16 -0.0666666666666667 0.0625 -0.157949748324146 -0.129335663482816 1.06666666666667 0.9375 0.730994152046784 0.779727095516569 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.108359987106229 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 3 0.833333333333333 -5 0.313909448441731 -0.0452263788956721 0.166666666666667 6 2.84210526315789 0.473684210526316 ; 22 31 51
50 12 0.76 -3.16666666666667 1 -0.14 0.24 4.16666666666667 3 0.72 ; 41 51
32 13 0.59375 -1.46153846153846 0.44657840569979 -0.122883990830143 0.40625 2.46153846153846 1.87134502923977 0.760233918128655 ; 21 32
47 16 0.659574468085106 -1.9375 0.791320018671387 -0.106152685431527 0.340425531914894 2.9375 2.38983050847458 0.813559322033898 ; 11 41
23 8 0.652173913043478 -1.875 0.299726121052415 -0.182665704675721 0.347826086956522 2.875 1.6812865497076 0.584795321637427 ; 12 21
37 7 0.810810810810811 -4.28571428571429 0.711202939946268 -0.0197921619745494 0.189189189189189 5.28571428571429 5.98275242544017 1.13187208048868 ; 13 33 43
21 3 0.857142857142857 -6 0.535550484560389 -0.0609522128317717 0.142857142857143 7 5.83333333333333 0.833333333333334 ; 12 32 52
12 3 0.75 -3 0.228380984099499 -0.0838904603124342 0.25 4 2.02020202020202 0.505050505050505 ; 13 32 42
32 1 0.96875 -31 0.606541389890074 -0.115837142612503 0.03125 32 5.19818063677713 0.162443144899285 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0669437570932494 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 13 0.518518518518518 -1.07692307692308 0.410304145386664 -0.0370679757514432 0.481481481481481 2.07692307692308 1.90677966101695 0.918079096045198 ; 11 23
11 0 1 Inf 0.332967166617389 -0.0926060490149567 0 Inf 5.1789077212806 0 ; 11 32 42 52
12 3 0.75 -3 0.208520141506618 -0.0818302643522325 0.25 4 2.10526315789474 0.526315789473684 ; 22 32 52
12 2 0.833333333333333 -5 0.363669150724521 -0.0443666777294954 0.166666666666667 6 5.10618983679104 0.851031639465174 ; 13 21 33 43
18 10 0.444444444444444 -0.8 0.222008262583023 0.0278602603821196 0.555555555555556 1.8 2.4085637823372 1.33809099018733 ; 11 22 31
15 18 -0.2 0.166666666666667 -0.116543309349613 -0.0291358273374033 1.2 0.833333333333333 0.789473684210526 0.947368421052632 ; 22 52
11 0 1 Inf 0.187049359228803 -0.107544058600462 0 Inf 4.54290150989527 0 ; 11 21 32 42
39 5 0.871794871794872 -6.8 0.720659878507205 -0.0476716054234797 0.128205128205128 7.8 5.80165289256199 0.743801652892562 ; 13 33 53
10 3 0.7 -2.33333333333333 0.264958600999098 -0.0124514226601312 0.3 3.33333333333333 2.27272727272727 0.681818181818182 ; 12 33 53
23 7 0.695652173913043 -2.28571428571429 0.353408361084115 -0.0375592297233073 0.304347826086957 3.28571428571429 3.00130491518051 0.913440626359287 ; 13 22 33
17 4 0.764705882352941 -3.25 0.317948128687405 -0.0365812442059327 0.235294117647059 4.25 2.91762013729977 0.68649885583524 ; 21 43 53
22 0 1 Inf 0.545539072777276 -0.0727849444114046 0 Inf 5.09259259259259 0 ; 12 42 52
12 14 -0.166666666666667 0.142857142857143 -0.152855695910666 -0.0929122857496206 1.16666666666667 0.857142857142857 0.701754385964912 0.818713450292398 ; 22 32
21 18 0.142857142857143 -0.166666666666667 0.0028501597951257 -0.0826546340586452 0.857142857142857 1.16666666666667 1.00478468899522 0.861244019138756 ; 13 21
49 15 0.693877551020408 -2.26666666666667 0.913346259032624 -0.0883883476483184 0.306122448979592 3.26666666666667 2.72222222222222 0.833333333333333 ; 42 52
20 4 0.8 -4 0.343037735658155 -0.0709148574209424 0.2 5 3.12044934470564 0.624089868941128 ; 13 22 43
18 1 0.944444444444444 -17 0.404701496513842 -0.095078914501469 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 41 51
27 4 0.851851851851852 -5.75 0.599221241579107 -0.0284397321340458 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0831516264970742 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 1 0.952380952380952 -20 0.327681968422467 -0.128142874343124 0.0476190476190476 21 3.01435406698565 0.143540669856459 ; 13 22 53
15 6 0.6 -1.5 0.239401969279088 -0.0565602950241453 0.4 2.5 1.9573727707699 0.78294910830796 ; 13 21 33
43 22 0.488372093023256 -0.954545454545455 0.655502392344498 0.0526315789473684 0.511627906976744 1.95454545454545 2.13223140495868 1.09090909090909 ; 13 33
