30 0 1 Inf 0.730693040452846 -0.0839310541621276 0 Inf 7.5 0 ; 23 41 51
27 1 0.962962962962963 -26 0.697503884014663 -0.0337504240215114 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 41
46 9 0.804347826086957 -4.11111111111111 0.87406293479704 -0.236016993835356 0.195652173913043 5.11111111111111 2.72727272727273 0.533596837944664 ; 33 43
17 5 0.705882352941177 -2.4 0.306539619836745 -0.0423447634071054 0.294117647058824 3.4 2.65238194299979 0.78011233617641 ; 21 33 43
15 21 -0.4 0.285714285714286 -0.157949748324146 0.0137347607238388 1.4 0.714285714285714 0.730994152046784 1.0233918128655 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.0696196646770917 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 5 0.722222222222222 -2.6 0.313909448441731 -0.0460905515582688 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 31 51
50 16 0.68 -2.125 1 -0.02 0.32 3.125 3 0.96 ; 41 51
32 20 0.375 -0.6 0.44657840569979 0.0869179447335161 0.625 1.6 1.87134502923977 1.16959064327485 ; 21 32
47 19 0.595744680851064 -1.47368421052632 0.791320018671387 -0.0193004882602777 0.404255319148936 2.47368421052632 2.38983050847458 0.966101694915254 ; 11 41
23 11 0.521739130434783 -1.09090909090909 0.299726121052415 -0.0861873395300936 0.478260869565217 2.09090909090909 1.6812865497076 0.804093567251462 ; 12 21
37 2 0.945945945945946 -17.5 0.711202939946268 -0.108073274325119 0.0540540540540541 18.5 5.98275242544017 0.323392022996766 ; 13 33 43
21 2 0.904761904761905 -9.5 0.535550484560389 -0.00104929470688256 0.0952380952380952 10.5 5.83333333333333 0.555555555555556 ; 12 32 52
12 3 0.75 -3 0.228380984099499 -0.084682952989125 0.25 4 2.02020202020202 0.505050505050505 ; 13 32 42
32 8 0.75 -3 0.606541389890074 -0.0155951237807289 0.25 4 5.19818063677713 1.29954515919428 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0159086280737942 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 15 0.444444444444444 -0.8 0.410304145386664 0.0268423272682865 0.555555555555556 1.8 1.90677966101695 1.05932203389831 ; 11 23
11 3 0.727272727272727 -2.66666666666667 0.332967166617389 -0.0271715897285598 0.272727272727273 3.66666666666667 5.1789077212806 1.41242937853107 ; 11 32 42 52
12 3 0.75 -3 0.208520141506618 -0.0483734825158287 0.25 4 2.10526315789474 0.526315789473684 ; 22 32 52
12 2 0.833333333333333 -5 0.363669150724521 -0.0638994245456219 0.166666666666667 6 5.10618983679104 0.851031639465174 ; 13 21 33 43
18 3 0.833333333333333 -5 0.222008262583023 -0.124134009872525 0.166666666666667 6 2.4085637823372 0.4014272970562 ; 11 22 31
15 14 0.0666666666666667 -0.0714285714285714 -0.116543309349613 -0.145679136687016 0.933333333333333 1.07142857142857 0.789473684210526 0.736842105263158 ; 22 52
11 2 0.818181818181818 -4.5 0.187049359228803 -0.0337294621549675 0.181818181818182 5.5 4.54290150989527 0.82598209270823 ; 11 21 32 42
39 5 0.871794871794872 -6.8 0.720659878507205 -0.0663844778634214 0.128205128205128 7.8 5.80165289256199 0.743801652892562 ; 13 33 53
10 2 0.8 -4 0.264958600999098 -0.0897699078694339 0.2 5 2.27272727272727 0.454545454545455 ; 12 33 53
23 6 0.739130434782609 -2.83333333333333 0.353408361084115 -0.0093330131320969 0.260869565217391 3.83333333333333 3.00130491518051 0.78294910830796 ; 13 22 33
17 4 0.764705882352941 -3.25 0.317948128687405 0.00364515966753252 0.235294117647059 4.25 2.91762013729977 0.68649885583524 ; 21 43 53
22 1 0.954545454545455 -21 0.545539072777276 -0.0719634144501465 0.0454545454545455 22 5.09259259259259 0.231481481481482 ; 12 42 52
12 13 -0.0833333333333333 0.0769230769230769 -0.152855695910666 -0.122883990830143 1.08333333333333 0.923076923076923 0.701754385964912 0.760233918128655 ; 22 32
21 15 0.285714285714286 -0.4 0.0028501597951257 -0.168159427912416 0.714285714285714 1.4 1.00478468899522 0.717703349282297 ; 13 21
49 14 0.714285714285714 -2.5 0.913346259032624 -0.117851130197758 0.285714285714286 3.5 2.72222222222222 0.777777777777778 ; 42 52
20 5 0.75 -3 0.343037735658155 -0.0616986665154887 0.25 4 3.12044934470564 0.78011233617641 ; 13 22 43
18 0 1 Inf 0.404701496513842 -0.0975678187033922 0 Inf 7.2256913470116 0 ; 11 22 41 51
27 3 0.888888888888889 -8 0.599221241579107 -0.040249606720762 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.062379808590214 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
