30 0 1 Inf 0.730693040452846 -0.0860065934465449 0 Inf 7.5 0 ; 23 41 51
27 1 0.962962962962963 -26 0.697503884014663 -0.0630203646630838 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 41
46 16 0.652173913043478 -1.875 0.87406293479704 -0.0260018722022003 0.347826086956522 2.875 2.72727272727273 0.948616600790514 ; 33 43
17 4 0.764705882352941 -3.25 0.306539619836745 -0.118701862418003 0.235294117647059 4.25 2.65238194299979 0.624089868941128 ; 21 33 43
15 19 -0.266666666666667 0.210526315789474 -0.157949748324146 -0.0434934089588229 1.26666666666667 0.789473684210526 0.730994152046784 0.925925925925926 ; 22 42
16 5 0.6875 -2.2 0.264330478638812 -0.00151451861675258 0.3125 3.2 2.42424242424242 0.757575757575758 ; 13 42 52
18 2 0.888888888888889 -8 0.313909448441731 -0.114362206233075 0.111111111111111 9 2.84210526315789 0.315789473684211 ; 22 31 51
50 18 0.64 -1.77777777777778 1 0.04 0.36 2.77777777777778 3 1.08 ; 41 51
32 14 0.5625 -1.28571428571429 0.44657840569979 -0.0929122857496206 0.4375 2.28571428571429 1.87134502923977 0.818713450292398 ; 21 32
47 15 0.680851063829787 -2.13333333333333 0.791320018671387 -0.135103417821944 0.319148936170213 3.13333333333333 2.38983050847458 0.76271186440678 ; 11 41
23 12 0.478260869565217 -0.916666666666667 0.299726121052415 -0.0540278844815512 0.521739130434783 1.91666666666667 1.6812865497076 0.87719298245614 ; 12 21
37 6 0.837837837837838 -5.16666666666667 0.711202939946268 -0.0654823414900089 0.162162162162162 6.16666666666667 5.98275242544017 0.970176068990299 ; 13 33 43
21 1 0.952380952380952 -20 0.535550484560389 -0.151471007962772 0.0476190476190476 21 5.83333333333333 0.277777777777778 ; 12 32 52
12 6 0.5 -1 0.228380984099499 -0.00566583946495287 0.5 2 2.02020202020202 1.01010101010101 ; 13 32 42
32 2 0.9375 -15 0.606541389890074 -0.0963085459718854 0.0625 16 5.19818063677713 0.324886289798571 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0920517066040433 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 13 0.518518518518518 -1.07692307692308 0.410304145386664 -0.0370679757514432 0.481481481481481 2.07692307692308 1.90677966101695 0.918079096045198 ; 11 23
11 2 0.818181818181818 -4.5 0.332967166617389 -0.0637625520555873 0.181818181818182 5.5 5.1789077212806 0.941619585687383 ; 11 32 42 52
12 3 0.75 -3 0.208520141506618 -0.0821088902666057 0.25 4 2.10526315789474 0.526315789473684 ; 22 32 52
