30 0 1 Inf 0.730693040452846 -0.0587422059510841 0 Inf 7.5 0 ; 23 41 51
27 1 0.962962962962963 -26 0.697503884014663 -0.0531531970119344 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 41
46 14 0.695652173913043 -2.28571428571429 0.87406293479704 -0.0860061926688163 0.304347826086957 3.28571428571429 2.72727272727273 0.8300395256917 ; 33 43
17 4 0.764705882352941 -3.25 0.306539619836745 -0.0903441615883357 0.235294117647059 4.25 2.65238194299979 0.624089868941128 ; 21 33 43
15 22 -0.466666666666667 0.318181818181818 -0.157949748324146 0.0423488455651697 1.46666666666667 0.681818181818182 0.730994152046784 1.07212475633528 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.0991031906335904 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 5 0.722222222222222 -2.6 0.313909448441731 0.00304527577913442 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 31 51
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 41 51
32 13 0.59375 -1.46153846153846 0.44657840569979 -0.122883990830143 0.40625 2.46153846153846 1.87134502923977 0.760233918128655 ; 21 32
47 23 0.51063829787234 -1.04347826086957 0.791320018671387 0.0965024413013886 0.48936170212766 2.04347826086957 2.38983050847458 1.16949152542373 ; 11 41
23 18 0.217391304347826 -0.277777777777778 0.299726121052415 0.138928845809703 0.782608695652174 1.27777777777778 1.6812865497076 1.31578947368421 ; 12 21
37 3 0.918918918918919 -11.3333333333333 0.711202939946268 -0.10764193223778 0.0810810810810811 12.3333333333333 5.98275242544017 0.485088034495149 ; 13 33 43
21 1 0.952380952380952 -20 0.535550484560389 -0.116774386183767 0.0476190476190476 21 5.83333333333333 0.277777777777778 ; 12 32 52
12 2 0.833333333333333 -5 0.228380984099499 -0.0652511351684922 0.166666666666667 6 2.02020202020202 0.336700336700337 ; 13 32 42
32 1 0.96875 -31 0.606541389890074 -0.117531098081727 0.03125 32 5.19818063677713 0.162443144899285 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.120848977484498 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 11 0.592592592592593 -1.45454545454545 0.410304145386664 -0.100978278771173 0.407407407407407 2.45454545454545 1.90677966101695 0.77683615819209 ; 11 23
11 1 0.909090909090909 -10 0.332967166617389 -0.0840144588740693 0.0909090909090909 11 5.1789077212806 0.470809792843691 ; 11 32 42 52
12 3 0.75 -3 0.208520141506618 -0.0909849549692872 0.25 4 2.10526315789474 0.526315789473684 ; 22 32 52
12 2 0.833333333333333 -5 0.363669150724521 -0.107934986461782 0.166666666666667 6 5.10618983679104 0.851031639465174 ; 13 21 33 43
18 5 0.722222222222222 -2.6 0.222008262583023 -0.0673756646898183 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 31
15 15 0 0 -0.116543309349613 -0.116543309349613 1 1 0.789473684210526 0.789473684210526 ; 22 52
11 1 0.909090909090909 -10 0.187049359228803 -0.0843674434667541 0.0909090909090909 11 4.54290150989527 0.412991046354115 ; 11 21 32 42
39 4 0.897435897435897 -8.75 0.720659878507205 -0.0270422570494002 0.102564102564103 9.75 5.80165289256199 0.59504132231405 ; 13 33 53
10 1 0.9 -9 0.264958600999098 -0.0184884016332276 0.1 10 2.27272727272727 0.227272727272727 ; 12 33 53
23 5 0.782608695652174 -3.6 0.353408361084115 -0.104407184976298 0.217391304347826 4.6 3.00130491518051 0.652457590256633 ; 13 22 33
17 4 0.764705882352941 -3.25 0.317948128687405 -0.0484776272819576 0.235294117647059 4.25 2.91762013729977 0.68649885583524 ; 21 43 53
22 1 0.954545454545455 -21 0.545539072777276 -0.127578480457977 0.0454545454545455 22 5.09259259259259 0.231481481481482 ; 12 42 52
12 16 -0.333333333333333 0.25 -0.152855695910666 -0.0329688755885751 1.33333333333333 0.75 0.701754385964912 0.935672514619883 ; 22 32
21 16 0.238095238095238 -0.3125 0.0028501597951257 -0.139657829961159 0.761904761904762 1.3125 1.00478468899522 0.76555023923445 ; 13 21
49 15 0.693877551020408 -2.26666666666667 0.913346259032624 -0.0883883476483184 0.306122448979592 3.26666666666667 2.72222222222222 0.833333333333333 ; 42 52
20 3 0.85 -5.66666666666667 0.343037735658155 -0.0697740379428666 0.15 6.66666666666667 3.12044934470564 0.468067401705846 ; 13 22 43
18 3 0.833333333333333 -5 0.404701496513842 -0.055484706984271 0.166666666666667 6 7.2256913470116 1.2042818911686 ; 11 22 41 51
27 2 0.925925925925926 -12.5 0.599221241579107 -0.10076943814879 0.0740740740740741 13.5 5.72033898305085 0.423728813559322 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.050133297925851 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 5 0.761904761904762 -3.2 0.327681968422467 -0.0885201205435947 0.238095238095238 4.2 3.01435406698565 0.717703349282297 ; 13 22 53
15 2 0.866666666666667 -6.5 0.239401969279088 -0.113907717626717 0.133333333333333 7.5 1.9573727707699 0.260983036102653 ; 13 21 33
43 17 0.604651162790698 -1.52941176470588 0.655502392344498 -0.0909090909090909 0.395348837209302 2.52941176470588 2.13223140495868 0.84297520661157 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0560442590187395 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 6 0.454545454545455 -0.833333333333333 -0.00913346719548128 -0.0583635501498649 0.545454545454545 1.83333333333333 1.36287045296858 0.743383883437407 ; 11 21 42
11 3 0.727272727272727 -2.66666666666667 0.158099890904008 -0.0837576143055625 0.272727272727273 3.66666666666667 1.86440677966102 0.508474576271187 ; 11 32 52
34 17 0.5 -1 0.437037410061049 -0.0582716546748065 0.5 2 1.78947368421053 0.894736842105263 ; 21 52
10 11 -0.1 0.0909090909090909 -0.0662266178532522 -0.0331133089266261 1.1 0.909090909090909 0.833333333333333 0.916666666666667 ; 12 53
10 1 0.9 -9 0.17867948668727 -0.0664921009689718 0.1 10 3.71691941718704 0.371691941718704 ; 11 21 42 52
44 3 0.931818181818182 -13.6666666666667 0.893725749918909 -0.123144279077625 0.0681818181818182 14.6666666666667 8.14814814814815 0.555555555555556 ; 32 42 52
11 4 0.636363636363636 -1.75 0.133241806221576 -0.0574713512513187 0.363636363636364 2.75 1.55367231638418 0.56497175141243 ; 11 42 52
18 1 0.944444444444444 -17 0.404701496513842 -0.0402379137216221 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 31 51
47 19 0.595744680851064 -1.47368421052632 0.791320018671387 -0.0193004882602777 0.404255319148936 2.47368421052632 2.38983050847458 0.966101694915254 ; 11 51
12 3 0.75 -3 0.197532073835983 -0.119846134394293 0.25 4 1.87226960682338 0.468067401705846 ; 13 21 43
24 17 0.291666666666667 -0.411764705882353 0.145679136687016 -0.0582716546748065 0.708333333333333 1.41176470588235 1.26315789473684 0.894736842105263 ; 22 53
16 12 0.25 -0.333333333333333 -0.0684762383262326 -0.185864075456917 0.75 1.33333333333333 0.872727272727273 0.654545454545455 ; 13 52
16 0 1 Inf 0.478925825411959 -0.0623642906731982 0 Inf 9.74658869395712 0 ; 12 21 42 52
21 19 0.0952380952380952 -0.105263157894737 0.0582716546748065 0 0.904761904761905 1.10526315789474 1.10526315789474 1 ; 21 53
20 1 0.95 -19 0.44852772186809 -0.0630476448844253 0.05 20 9.36134803411692 0.468067401705846 ; 13 22 43 53
45 5 0.888888888888889 -8 0.894635505056936 -0.0362191385413161 0.111111111111111 9 8.00395256916996 0.889328063241107 ; 33 43 53
18 5 0.722222222222222 -2.6 0.313909448441731 -0.104650263787274 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 41 51
18 19 -0.0555555555555556 0.0526315789473684 -0.0291358273374033 0 1.05555555555556 0.947368421052632 0.947368421052632 1 ; 22 51
50 3 0.94 -15.6666666666667 1 -0.07 0.06 16.6666666666667 9 0.54 ; 31 41 51
14 4 0.714285714285714 -2.5 0.212951067119622 -0.0541942704775872 0.285714285714286 3.5 2.04678362573099 0.584795321637427 ; 22 42 52
50 16 0.68 -2.125 1 -0.02 0.32 3.125 3 0.96 ; 31 51
34 4 0.882352941176471 -7.5 0.616852624040045 -0.0729224987077596 0.117647058823529 8.5 4.97076023391813 0.584795321637427 ; 21 42 52
24 8 0.666666666666667 -2 0.406504100730533 -0.0211710306592476 0.333333333333333 3 3.44497607655502 1.14832535885167 ; 22 33 53
44 11 0.75 -3 0.894959429780133 -0.123442679969674 0.25 4 2.93333333333333 0.733333333333333 ; 32 52
47 1 0.978723404255319 -46 0.895660009335693 -0.0446502441301389 0.0212765957446809 47 21.5084745762712 0.457627118644068 ; 11 31 41 51
18 20 -0.111111111111111 0.1 -0.0291358273374033 0.0291358273374033 1.11111111111111 0.9 0.947368421052632 1.05263157894737 ; 22 31
12 16 -0.333333333333333 0.25 -0.169753409684498 -0.050628209905903 1.33333333333333 0.75 0.677966101694915 0.903954802259887 ; 11 32
30 4 0.866666666666667 -6.5 0.730693040452846 -0.0597799755932928 0.133333333333333 7.5 7.5 1 ; 23 31 41
15 3 0.8 -4 0.364583384153451 -0.0150896929896456 0.2 5 3.65497076023392 0.730994152046784 ; 12 21 32
12 1 0.916666666666667 -11 0.404162067130837 -0.0989080847633976 0.0833333333333333 12 6.06060606060606 0.505050505050505 ; 13 32 42 52
23 17 0.260869565217391 -0.352941176470588 0.0598533556976396 -0.111156232009902 0.739130434782609 1.35294117647059 1.10047846889952 0.813397129186603 ; 21 33
17 1 0.941176470588235 -16 0.464622349093135 -0.0489472846200232 0.0588235294117647 17 7.95714582899938 0.468067401705846 ; 21 33 43 53
15 1 0.933333333333333 -14 0.464998898415737 -0.0654249930410912 0.0666666666666667 15 10.9649122807018 0.730994152046784 ; 12 21 32 52
23 2 0.91304347826087 -10.5 0.532942028372085 -0.0193723798644824 0.0869565217391304 11.5 10.7655502392345 0.936134803411691 ; 22 33 43 53
12 0 1 Inf 0.375638082695384 -0.0794326961009823 0 Inf 5.84795321637427 0 ; 22 32 42 52
21 1 0.952380952380952 -20 0.45206357718608 -0.0602851483071352 0.0476190476190476 21 8.22096563723358 0.39147455415398 ; 13 22 33 53
16 5 0.6875 -2.2 0.367003309768784 -0.0283031178327446 0.3125 3.2 3.50877192982456 1.09649122807018 ; 12 21 52
12 3 0.75 -3 0.230211055866128 -0.108133734173883 0.25 4 2.18181818181818 0.545454545454546 ; 13 32 52
27 4 0.851851851851852 -5.75 0.599221241579107 -0.0125297154654701 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 41
15 0 1 Inf 0.470970079589517 -0.0672931552460762 0 Inf 10.1526965562053 0 ; 12 21 32 42
37 12 0.675675675675676 -2.08333333333333 0.604043492697268 -0.146010513135432 0.324324324324324 3.08333333333333 2.19367588932806 0.711462450592885 ; 13 43
24 5 0.791666666666667 -3.8 0.414043151057241 -0.011770467185652 0.208333333333333 4.8 3.74453921364677 0.78011233617641 ; 22 33 43
30 2 0.933333333333333 -14 0.730693040452846 -0.0397799755932928 0.0666666666666667 15 7.5 0.5 ; 23 31 51
31 3 0.903225806451613 -9.33333333333333 0.592858415180324 -0.101532775158208 0.0967741935483871 10.3333333333333 5.43859649122807 0.526315789473684 ; 21 32 52
49 20 0.591836734693878 -1.45 0.899973418001914 0.0489115988044518 0.408163265306122 2.45 2.67272727272727 1.09090909090909 ; 33 53
12 5 0.583333333333333 -1.4 0.146801219425062 -0.0716845908617711 0.416666666666667 2.4 1.88323917137476 0.784682988072819 ; 11 32 42
20 5 0.75 -3 0.339366142791453 -0.0207482110684834 0.25 4 2.87081339712919 0.717703349282297 ; 21 33 53
47 15 0.680851063829787 -2.13333333333333 0.791320018671387 -0.135103417821944 0.319148936170213 3.13333333333333 2.38983050847458 0.76271186440678 ; 11 31
38 18 0.526315789473684 -1.11111111111111 0.500174203026464 -0.0721074938001538 0.473684210526316 2.11111111111111 1.85185185185185 0.87719298245614 ; 21 42
18 12 0.333333333333333 -0.5 -0.0291358273374033 -0.203950791361823 0.666666666666667 1.5 0.947368421052632 0.631578947368421 ; 22 41
18 0 1 Inf 0.404701496513842 -0.0649292240216482 0 Inf 7.2256913470116 0 ; 11 22 31 41
10 4 0.6 -1.5 -0.0262430163170616 -0.0772110037669439 0.4 2.5 1.33809099018733 0.535236396074933 ; 11 21 52
19 19 0 0 -0.0961594035849142 -0.0961594035849142 1 1 0.847457627118644 0.847457627118644 ; 11 22
13 4 0.692307692307692 -2.25 0.222541879881712 -0.0595957030015735 0.307692307692308 3.25 1.86602870813397 0.574162679425837 ; 13 21 53
24 9 0.625 -1.66666666666667 0.359024561106316 -0.128780549092483 0.375 2.66666666666667 1.85185185185185 0.694444444444444 ; 12 42
30 0 1 Inf 0.798019780339635 -0.0570755392844174 0 Inf 22.5 0 ; 23 31 41 51
37 0 1 Inf 0.758326037564629 -0.0641177164520055 0 Inf 17.9482572763205 0 ; 13 33 43 53
20 1 0.95 -19 0.455423046936445 -0.0733984055856492 0.05 20 8.51031639465174 0.425515819732587 ; 13 22 33 43
11 5 0.545454545454545 -1.2 0.00398829479555607 -0.0898905347736535 0.454545454545455 2.2 1.6354445435623 0.743383883437407 ; 11 21 32
10 0 1 Inf 0.311673290686301 -0.0853509296134434 0 Inf 12.3897313906235 0 ; 11 21 32 42 52
18 0 1 Inf 0.485432086331298 -0.0641358273374033 0 Inf 8.52631578947368 0 ; 22 31 41 51
29 15 0.482758620689655 -0.933333333333333 0.230862943405181 -0.168159427912416 0.517241379310345 1.93333333333333 1.38755980861244 0.717703349282297 ; 13 22
30 11 0.633333333333333 -1.72727272727273 0.59603956067927 -0.0331133089266261 0.366666666666667 2.72727272727273 2.5 0.916666666666667 ; 23 51
13 19 -0.461538461538462 0.315789473684211 -0.264860111628623 -0.0961594035849142 1.46153846153846 0.684210526315789 0.579839429081178 0.847457627118644 ; 11 21
12 0 1 Inf 0.46566339645709 -0.0709390420769383 0 Inf 15.3185695103731 0 ; 13 21 33 43 53
10 1 0.9 -9 0.182175896140707 -0.0880979820010919 0.1 10 4.46030330062444 0.446030330062444 ; 11 21 32 52
45 13 0.711111111111111 -2.46153846153846 0.909870162371853 -0.0715628217595839 0.288888888888889 3.46153846153846 2.93478260869565 0.847826086956522 ; 43 53
12 0 1 Inf 0.361206977288302 -0.0783717506643376 0 Inf 5.61680882047015 0 ; 13 21 43 53
17 15 0.117647058823529 -0.133333333333333 -0.014297430984443 -0.0738700600862887 0.882352941176471 1.13333333333333 0.97254004576659 0.85812356979405 ; 21 43
18 19 -0.0555555555555556 0.0526315789473684 -0.0518785847899556 -0.0230571487955358 1.05555555555556 0.947368421052632 0.909090909090909 0.95959595959596 ; 13 42
18 0 1 Inf 0.519039317041704 -0.0538875832390167 0 Inf 21.6770740410348 0 ; 11 22 31 41 51
27 19 0.296296296296296 -0.421052631578947 0.173859747502667 -0.0541530361073882 0.703703703703704 1.42105263157895 1.29186602870813 0.909090909090909 ; 22 33
12 21 -0.75 0.428571428571429 -0.262714492984284 -0.00682375306452687 1.75 0.571428571428571 0.564971751412429 0.988700564971752 ; 11 42
30 11 0.633333333333333 -1.72727272727273 0.59603956067927 -0.0331133089266261 0.366666666666667 2.72727272727273 2.5 0.916666666666667 ; 23 41
31 0 1 Inf 0.677494544757338 -0.10378266275633 0 Inf 15.1072124756335 0 ; 21 32 42 52
27 1 0.962962962962963 -26 0.697503884014663 -0.0624536852722122 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 51
47 6 0.872340425531915 -6.83333333333333 0.860880012447591 -0.0581346353607406 0.127659574468085 7.83333333333333 7.16949152542373 0.915254237288136 ; 11 31 51
15 0 1 Inf 0.543540997460379 -0.0839428158402386 0 Inf 30.458089668616 0 ; 12 21 32 42 52
12 4 0.666666666666667 -2 0.187355372236386 -0.0494072798794296 0.333333333333333 3 1.94931773879142 0.649772579597141 ; 22 32 42
21 9 0.571428571428571 -1.33333333333333 0.347445625708147 -0.0613139339484966 0.428571428571429 2.33333333333333 1.94444444444444 0.833333333333333 ; 12 32
21 2 0.904761904761905 -9.5 0.526447249252811 -0.115898764218621 0.0952380952380952 10.5 5.40123456790124 0.51440329218107 ; 12 32 42
30 10 0.666666666666667 -2 0.59603956067927 -0.0662266178532522 0.333333333333333 3 2.5 0.833333333333333 ; 23 31
37 2 0.945945945945946 -17.5 0.706805826748108 -0.0855675379795259 0.0540540540540541 18.5 6.58102766798419 0.355731225296443 ; 13 43 53
18 2 0.888888888888889 -8 0.313909448441731 -0.0849383213414732 0.111111111111111 9 2.84210526315789 0.315789473684211 ; 22 31 41
18 5 0.722222222222222 -2.6 0.222008262583023 -0.038486630615064 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 51
13 0 1 Inf 0.380492467614864 -0.0553234721865436 0 Inf 5.08916920400174 0 ; 13 21 33 53
47 7 0.851063829787234 -5.71428571428571 0.860880012447591 -0.0109326823196297 0.148936170212766 6.71428571428571 7.16949152542373 1.06779661016949 ; 11 41 51
11 17 -0.545454545454545 0.352941176470588 -0.25090634738361 -0.0772019530411109 1.54545454545455 0.647058823529412 0.559322033898305 0.864406779661017 ; 11 52
39 17 0.564102564102564 -1.29411764705882 0.606503825175203 -0.0391292790435615 0.435897435897436 2.29411764705882 2.12727272727273 0.927272727272727 ; 13 53
27 0 1 Inf 0.697503884014663 -0.0333338239305524 0 Inf 17.1610169491525 0 ; 11 23 41 51
18 5 0.722222222222222 -2.6 0.222008262583023 -0.0678692512151161 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 41
50 14 0.72 -2.57142857142857 1 -0.08 0.28 3.57142857142857 3 0.84 ; 31 41
45 11 0.755555555555556 -3.09090909090909 0.87287156094397 -0.157601809614883 0.244444444444444 4.09090909090909 2.77777777777778 0.679012345679012 ; 32 42
27 3 0.888888888888889 -8 0.599221241579107 -0.0511306919860256 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 51
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.0395336588401851 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 31 41
12 16 -0.333333333333333 0.25 -0.135850023855518 -0.0150944470950575 1.33333333333333 0.75 0.727272727272727 0.96969696969697 ; 13 32
12 11 0.0833333333333333 -0.0909090909090909 -0.0388709971513682 -0.0712634947775084 0.916666666666667 1.09090909090909 0.909090909090909 0.833333333333333 ; 12 33
18 3 0.833333333333333 -5 0.386308295061732 -0.0206530656943112 0.166666666666667 6 3.65497076023392 0.60916179337232 ; 12 21 42
24 21 0.125 -0.142857142857143 0.194206770872017 0.104847827219249 0.875 1.14285714285714 1.37299771167048 1.20137299771167 ; 22 43
23 7 0.695652173913043 -2.28571428571429 0.364246398192887 -0.16556654463313 0.304347826086957 3.28571428571429 1.91666666666667 0.583333333333333 ; 12 52
23 5 0.782608695652174 -3.6 0.416585356643629 -0.00832888307171396 0.217391304347826 4.6 3.94736842105263 0.85812356979405 ; 22 43 53
