30 4 0.866666666666667 -6.5 0.730693040452846 -0.0277044363088754 0.133333333333333 7.5 7.5 1 ; 23 41 51
27 1 0.962962962962963 -26 0.697503884014663 -0.102556871352492 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 41
46 11 0.760869565217391 -3.18181818181818 0.87406293479704 -0.17601267336874 0.239130434782609 4.18181818181818 2.72727272727273 0.652173913043478 ; 33 43
17 3 0.823529411764706 -4.66666666666667 0.306539619836745 -0.120346321821644 0.176470588235294 5.66666666666667 2.65238194299979 0.468067401705846 ; 21 33 43
15 14 0.0666666666666667 -0.0714285714285714 -0.157949748324146 -0.186563833165477 0.933333333333333 1.07142857142857 0.730994152046784 0.682261208576998 ; 22 42
16 4 0.75 -3 0.264330478638812 -0.0494136786002912 0.25 4 2.42424242424242 0.606060606060606 ; 13 42 52
18 2 0.888888888888889 -8 0.313909448441731 -0.104362206233075 0.111111111111111 9 2.84210526315789 0.315789473684211 ; 22 31 51
50 15 0.7 -2.33333333333333 1 -0.05 0.3 3.33333333333333 3 0.9 ; 41 51
32 14 0.5625 -1.28571428571429 0.44657840569979 -0.0929122857496206 0.4375 2.28571428571429 1.87134502923977 0.818713450292398 ; 21 32
47 15 0.680851063829787 -2.13333333333333 0.791320018671387 -0.135103417821944 0.319148936170213 3.13333333333333 2.38983050847458 0.76271186440678 ; 11 41
23 10 0.565217391304348 -1.3 0.299726121052415 -0.118346794578636 0.434782608695652 2.3 1.6812865497076 0.730994152046784 ; 12 21
37 2 0.945945945945946 -17.5 0.711202939946268 -0.0897972025189347 0.0540540540540541 18.5 5.98275242544017 0.323392022996766 ; 13 33 43
21 3 0.857142857142857 -6 0.535550484560389 -0.086863703902776 0.142857142857143 7 5.83333333333333 0.833333333333334 ; 12 32 52
12 4 0.666666666666667 -2 0.228380984099499 -0.0732525300633914 0.333333333333333 3 2.02020202020202 0.673400673400674 ; 13 32 42
32 6 0.8125 -4.33333333333333 0.606541389890074 -0.0278483925395564 0.1875 5.33333333333333 5.19818063677713 0.974658869395711 ; 21 32 42
21 0 1 Inf 0.625315639127346 -0.0549245549569945 0 Inf 16.2037037037037 0 ; 12 32 42 52
27 8 0.703703703703704 -2.375 0.410304145386664 -0.196843733300767 0.296296296296296 3.375 1.90677966101695 0.56497175141243 ; 11 23
11 4 0.636363636363636 -1.75 0.332967166617389 -0.0279190862219711 0.363636363636364 2.75 5.1789077212806 1.88323917137477 ; 11 32 42 52
12 4 0.666666666666667 -2 0.208520141506618 -0.041257651914013 0.333333333333333 3 2.10526315789474 0.701754385964912 ; 22 32 52
12 0 1 Inf 0.363669150724521 -0.099012621602359 0 Inf 5.10618983679104 0 ; 13 21 33 43
18 3 0.833333333333333 -5 0.222008262583023 -0.143990463277113 0.166666666666667 6 2.4085637823372 0.4014272970562 ; 11 22 31
15 19 -0.266666666666667 0.210526315789474 -0.116543309349613 0 1.26666666666667 0.789473684210526 0.789473684210526 1 ; 22 52
11 1 0.909090909090909 -10 0.187049359228803 -0.0531874044898674 0.0909090909090909 11 4.54290150989527 0.412991046354115 ; 11 21 32 42
39 5 0.871794871794872 -6.8 0.720659878507205 -0.0183246461408085 0.128205128205128 7.8 5.80165289256199 0.743801652892562 ; 13 33 53
10 4 0.6 -1.5 0.264958600999098 -0.0249849126171535 0.4 2.5 2.27272727272727 0.909090909090909 ; 12 33 53
23 7 0.695652173913043 -2.28571428571429 0.353408361084115 -0.0185581644224694 0.304347826086957 3.28571428571429 3.00130491518051 0.913440626359287 ; 13 22 33
