30 29 0.0333333333333333 -0.0344827586206897 0.730693040452846 0.709655270810638 0.966666666666667 1.03448275862069 7.5 7.25 ; 23 41 51
47 46 0.0212765957446809 -0.0217391304347826 0.860880012447591 0.841229768317452 0.978723404255319 1.02173913043478 7.16949152542373 7.01694915254237 ; 11 31 51
43 43 0 0 0.655502392344498 0.655502392344498 1 1 2.13223140495868 2.13223140495868 ; 13 33
30 30 0 0 0.59603956067927 0.59603956067927 1 1 2.5 2.5 ; 23 31
37 35 0.0540540540540541 -0.0571428571428571 0.706805826748108 0.656134605838462 0.945945945945946 1.05714285714286 6.58102766798419 6.22529644268775 ; 13 43 53
46 44 0.0434782608695652 -0.0454545454545455 0.87406293479704 0.814058614330424 0.956521739130435 1.04545454545455 2.72727272727273 2.60869565217391 ; 33 43
34 33 0.0294117647058824 -0.0303030303030303 0.437037410061049 0.407901582723646 0.970588235294118 1.03030303030303 1.78947368421053 1.73684210526316 ; 21 52
37 35 0.0540540540540541 -0.0571428571428571 0.604043492697268 0.544039172230652 0.945945945945946 1.05714285714286 2.19367588932806 2.07509881422925 ; 13 43
50 49 0.02 -0.0204081632653061 1 0.97 0.98 1.02040816326531 3 2.94 ; 41 51
47 46 0.0212765957446809 -0.0217391304347826 0.860880012447591 0.841229768317452 0.978723404255319 1.02173913043478 7.16949152542373 7.01694915254237 ; 11 41 51
32 30 0.0625 -0.0666666666666667 0.44657840569979 0.386634995538744 0.9375 1.06666666666667 1.87134502923977 1.75438596491228 ; 21 32
44 41 0.0681818181818182 -0.0731707317073171 0.893725749918909 0.833023002096929 0.931818181818182 1.07317073170732 8.14814814814815 7.59259259259259 ; 32 42 52
31 29 0.0645161290322581 -0.0689655172413793 0.592858415180324 0.542591556019229 0.935483870967742 1.06896551724138 5.43859649122807 5.08771929824561 ; 21 32 52
30 29 0.0333333333333333 -0.0344827586206897 0.730693040452846 0.709655270810638 0.966666666666667 1.03448275862069 7.5 7.25 ; 23 31 51
49 48 0.0204081632653061 -0.0208333333333333 0.899973418001914 0.870626458719243 0.979591836734694 1.02083333333333 2.67272727272727 2.61818181818182 ; 33 53
47 47 0 0 0.791320018671387 0.791320018671387 1 1 2.38983050847458 2.38983050847458 ; 11 41
47 46 0.0212765957446809 -0.0217391304347826 0.791320018671387 0.76236928628097 0.978723404255319 1.02173913043478 2.38983050847458 2.33898305084746 ; 11 51
47 47 0 0 0.791320018671387 0.791320018671387 1 1 2.38983050847458 2.38983050847458 ; 11 31
37 35 0.0540540540540541 -0.0571428571428571 0.711202939946268 0.671200059635191 0.945945945945946 1.05714285714286 5.98275242544017 5.65936040244341 ; 13 33 43
38 36 0.0526315789473684 -0.0555555555555556 0.500174203026464 0.442946033343802 0.947368421052632 1.05555555555556 1.85185185185185 1.75438596491228 ; 21 42
39 39 0 0 0.606503825175203 0.606503825175203 1 1 2.12727272727273 2.12727272727273 ; 13 53
32 29 0.09375 -0.103448275862069 0.606541389890074 0.537176156298284 0.90625 1.10344827586207 5.19818063677713 4.71085120207927 ; 21 32 42
50 50 0 0 1 1 1 1 3 3 ; 31 41
47 47 0 0 0.860880012447591 0.860880012447591 1 1 7.16949152542373 7.16949152542373 ; 11 31 41
45 42 0.0666666666666667 -0.0714285714285714 0.894635505056936 0.834181964386399 0.933333333333333 1.07142857142857 8.00395256916996 7.4703557312253 ; 33 43 53
45 42 0.0666666666666667 -0.0714285714285714 0.87287156094397 0.781947440012306 0.933333333333333 1.07142857142857 2.77777777777778 2.59259259259259 ; 32 42
37 35 0.0540540540540541 -0.0571428571428571 0.758326037564629 0.718098547151591 0.945945945945946 1.05714285714286 17.9482572763205 16.9780812073302 ; 13 33 43 53
30 29 0.0333333333333333 -0.0344827586206897 0.798019780339635 0.782500895518531 0.966666666666667 1.03448275862069 22.5 21.75 ; 23 31 41 51
50 49 0.02 -0.0204081632653061 1 0.98 0.98 1.02040816326531 9 8.82 ; 31 41 51
50 49 0.02 -0.0204081632653061 1 0.97 0.98 1.02040816326531 3 2.94 ; 31 51
34 32 0.0588235294117647 -0.0625 0.616852624040045 0.578243697516877 0.941176470588235 1.0625 4.97076023391813 4.67836257309942 ; 21 42 52
44 42 0.0454545454545455 -0.0476190476190476 0.894959429780133 0.833238089795296 0.954545454545455 1.04761904761905 2.93333333333333 2.8 ; 32 52
39 39 0 0 0.720659878507205 0.710877558746314 1 1 5.80165289256199 5.80165289256199 ; 13 33 53
47 46 0.0212765957446809 -0.0217391304347826 0.895660009335693 0.880834887270624 0.978723404255319 1.02173913043478 21.5084745762712 21.0508474576271 ; 11 31 41 51
30 29 0.0333333333333333 -0.0344827586206897 0.59603956067927 0.562926251752644 0.966666666666667 1.03448275862069 2.5 2.41666666666667 ; 23 51
45 42 0.0666666666666667 -0.0714285714285714 0.909870162371853 0.817860820109531 0.933333333333333 1.07142857142857 2.93478260869565 2.73913043478261 ; 43 53
30 30 0 0 0.730693040452846 0.730693040452846 1 1 7.5 7.5 ; 23 31 41
49 48 0.0204081632653061 -0.0208333333333333 0.913346259032624 0.883883476483184 0.979591836734694 1.02083333333333 2.72222222222222 2.66666666666667 ; 42 52
31 28 0.0967741935483871 -0.107142857142857 0.677494544757338 0.62275860298283 0.903225806451613 1.10714285714286 15.1072124756335 13.64522417154 ; 21 32 42 52
30 30 0 0 0.59603956067927 0.59603956067927 1 1 2.5 2.5 ; 23 41
